Age	Div
48.47846	338
48.44555	338
48.42361	340
48.23712	339
48.18227	340
48.142778	340
47.8941978	340
47.8422	340
47.67765	341
47.5131	342
47.5086023	343
47.4909406	343
47.4284116	344
47.3362636	342
47.20594	340
47.15109	340
47.0942654	341
46.9270826	341
46.8846287	340
46.86587	340
46.78908	340
46.6885948	341
46.64647	340
46.58065	341
46.37222	341
46.3683805	341
46.31737	340
46.3064	341
46.1106952	341
46.10894	341
45.94439	341
45.90051	341
45.858824	340
45.85663	340
45.79081	340
45.72499	338
45.59335	337
45.4436095	335
45.33007	335
45.30813	335
45.27522	336
45.17649	336
45.0265301	335
45.00097	335
44.96806	335
44.9325172	336
44.8374073	336
44.69381	336
44.68284	336
44.67187	336
44.62799	336
44.5344159	335
44.46344	335
44.185899	342
44.13434	339
44.0987972	338
44.04658	338
44.0392301	338
43.9767011	338
43.93688	338
43.8870762	338
43.84912	338
43.7840679	339
43.73942	339
43.68457	339
43.6726127	339
43.41032	339
43.35547	339
43.33353	340
43.31159	338
43.2760472	338
43.21286	338
43.0908736	338
43.0181425	338
42.99346	339
42.89473	339
42.83988	335
42.82891	335
42.78503	335
42.75212	335
42.70824	335
42.6779628	339
42.5805492	338
42.48884	338
42.339648	338
42.336357	332
42.33526	332
42.14877	331
42.03907	332
41.9900341	332
41.9051263	324
41.7641618	325
41.7380532	320
41.7151259	325
41.70997	323
41.5441036	323
41.51251	314
41.4727986	317
41.38087	316
41.318341	317
41.1862622	325
41.0540737	324
41.05177	322
41.0175436	321
40.94207	321
40.9382305	320
40.8878782	319
40.8831611	316
40.87625	310
40.7933168	311
40.72267	311
40.6248176	319
40.39357	315
40.25096	315
39.95477	317
39.7205605	317
39.63664	317
39.6147	317
39.29657	319
39.1759	319
38.97844	320
38.870934	321
38.8636938	320
38.85777	312
38.8295771	310
38.7880008	307
38.7412686	305
38.71516	305
38.529767	307
38.52867	305
38.41897	310
38.25442	299
38.19957	299
37.871567	300
37.87047	299
37.78271	300
37.54137	300
37.32197	302
37.21227	302
37.06966	302
37.0254509	304
36.88317	301
36.86123	301
