core	age_calkaBP	d18Obenth	d18Ow	sealevel
1337 Kochhann	18967.00	1.67	0.23	-14.00
1337 Kochhann	18972.00	1.52	0.08	-4.86
1337 Kochhann	18978.00	1.49	0.05	-3.02
1337 Kochhann	18983.00	1.39	-0.06	3.48
1337 Kochhann	18988.00	1.57	0.12	-7.38
1337 Kochhann	18993.00	1.76	0.31	-19.22
1337 Kochhann	18999.00	1.84	0.39	-23.90
1337 Kochhann	19004.00	1.93	0.48	-29.47
1337 Kochhann	19009.00	1.76	0.30	-18.72
1337 Kochhann	19014.00	1.93	0.48	-29.33
1337 Kochhann	19020.00	1.77	0.31	-19.06
1337 Kochhann	19025.00	1.67	0.21	-13.12
1337 Kochhann	19030.00	1.62	0.16	-9.82
1337 Kochhann	19035.00	1.43	-0.03	1.90
1337 Kochhann	19039.00	1.59	0.13	-7.86
1337 Kochhann	19043.00	1.67	0.21	-12.71
1337 Kochhann	19046.00	1.73	0.27	-16.41
1337 Kochhann	19050.00	1.88	0.41	-25.44
1337 Kochhann	19053.00	1.88	0.41	-25.38
1337 Kochhann	19057.00	2.13	0.66	-40.81
1337 Kochhann	19061.00	2.10	0.63	-38.88
1337 Kochhann	19064.00	2.10	0.63	-38.52
1337 Kochhann	19068.00	1.76	0.29	-17.89
1337 Kochhann	19071.00	1.80	0.33	-20.29
1337 Kochhann	19075.00	1.67	0.20	-12.09
1337 Kochhann	19079.00	1.79	0.32	-19.52
1337 Kochhann	19081.00	1.79	0.32	-19.54
1337 Kochhann	19086.00	1.81	0.33	-20.49
1337 Kochhann	19090.00	1.68	0.20	-12.23
1337 Kochhann	19093.00	1.76	0.28	-17.22
1337 Kochhann	19097.00	1.68	0.20	-12.34
1337 Kochhann	19100.00	1.67	0.19	-11.48
1337 Kochhann	19104.00	1.60	0.12	-7.49
1337 Kochhann	19108.00	1.61	0.12	-7.68
1337 Kochhann	19111.00	1.58	0.10	-6.16
1337 Kochhann	19115.00	1.54	0.06	-3.39
1337 Kochhann	19118.00	2.08	0.59	-36.27
1337 Kochhann	19122.00	1.83	0.35	-21.26
1337 Kochhann	19126.00	1.67	0.19	-11.42
1337 Kochhann	19129.00	1.71	0.23	-13.90
1337 Kochhann	19133.00	1.64	0.15	-9.04
1337 Kochhann	19136.00	1.63	0.14	-8.69
1337 Kochhann	19140.00	1.54	0.05	-2.85
1337 Kochhann	19144.00	1.43	-0.06	3.67
1337 Kochhann	19147.00	1.66	0.16	-10.01
1337 Kochhann	19151.00	1.57	0.07	-4.48
1337 Kochhann	19154.00	1.57	0.08	-4.81
1337 Kochhann	19158.00	1.39	-0.11	6.70
1337 Kochhann	19162.00	1.75	0.25	-15.46
1337 Kochhann	19166.00	1.75	0.26	-15.77
