"","Order","Family","Genus","Species"
"231","NA","Archaeohyracidae","Eohyrax","isotemnoides"
"232","NA","Archaeohyracidae","Eohyrax","isotemnoides"
"233","NA","Archaeohyracidae","Eohyrax","isotemnoides"
"234","NA","Archaeohyracidae","Eohyrax","isotemnoides"
"235","NA","Archaeohyracidae","Eohyrax","platyodus"
"236","NA","Archaeohyracidae","Eohyrax","praerusticus"
"237","NA","Archaeohyracidae","Eohyrax","praerusticus"
"238","NA","Archaeohyracidae","Eohyrax","rusticus"
"239","NA","Archaeohyracidae","Eohyrax","rusticus"
"240","NA","Archaeohyracidae","Eohyrax","NA"
"241","NA","Archaeohyracidae","Eohyrax","NA"
"242","NA","Archaeohyracidae","Eohyrax","NA"
"243","NA","Archaeohyracidae","Protarchaeohyrax","intermedium"
"244","NA","Archaeohyracidae","Protarchaeohyrax","minor"
"245","NA","Archaeohyracidae","Protarchaeohyrax","minor"
"246","NA","Archaeohyracidae","Pseudhyrax","eutrachytheroides"
"247","NA","Archaeohyracidae","Pseudhyrax","eutrachytheroides"
"248","NA","Archaeohyracidae","Pseudhyrax","eutrachytheroides"
"249","NA","Archaeohyracidae","Pseudhyrax","eutrachytheroides"
"250","NA","Archaeohyracidae","Pseudhyrax","eutrachytheroides"
"251","NA","Archaeohyracidae","Pseudhyrax","eutrachytheroides"
"252","NA","Archaeohyracidae","Pseudhyrax","eutrachytheroides"
"253","NA","Archaeohyracidae","Pseudhyrax","eutrachytheroides"
"254","NA","Archaeohyracidae","Pseudhyrax","eutrachytheroides"
"255","NA","Archaeohyracidae","Pseudhyrax","eutrachytheroides"
"256","NA","Archaeohyracidae","Pseudhyrax","eutrachytheroides"
"257","NA","Archaeohyracidae","Pseudhyrax","eutrachytheroides"
"258","NA","Archaeohyracidae","Pseudhyrax","NA"
"259","NA","Archaeohyracidae","Pseudhyrax","strangulatus"
"260","NA","Archaeohyracidae","Pseudhyrax","strangulatus"
"261","NA","Archaeohyracidae","Pseudhyrax","strangulatus"
"262","NA","Archaeohyracidae","Pseudhyrax","strangulatus"
"263","NA","Archaeohyracidae","Pseudhyrax","strangulatus"
"264","NA","Archaeohyracidae","Pseudhyrax","strangulatus"
"265","NA","Archaeohyracidae","Punahyrax","bondesioi"
"266","NA","Archaeohyracidae","Punahyrax","bondesioi"
"267","NA","Archaeohyracidae","Punahyrax","NA"
"268","NA","Archaeopithecidae","Archaeopithecus","rogeri"
"269","NA","Archaeopithecidae","Archaeopithecus","rogeri"
"270","NA","Archaeopithecidae","Archaeopithecus","rogeri"
"271","NA","Archaeopithecidae","Archaeopithecus","rogeri"
"272","NA","Archaeopithecidae","Archaeopithecus","rogeri"
"273","NA","Archaeopithecidae","Archaeopithecus","rogeri"
"274","NA","Archaeopithecidae","Archaeopithecus","rogeri"
"275","NA","Archaeopithecidae","Archaeopithecus","rogeri"
"276","NA","Archaeopithecidae","Archaeopithecus","rogeri"
"277","NA","Archaeopithecidae","Archaeopithecus","rogeri"
"278","NA","Archaeopithecidae","Archaeopithecus","rogeri"
"279","NA","Archaeopithecidae","Archaeopithecus","rogeri"
"280","NA","Archaeopithecidae","Archaeopithecus","rogeri"
"281","NA","Archaeopithecidae","Archaeopithecus","rogeri"
"282","NA","Archaeopithecidae","Archaeopithecus","rogeri"
"283","NA","Archaeopithecidae","Archaeopithecus","rogeri"
"284","NA","Archaeopithecidae","Archaeopithecus","rogeri"
"285","NA","Archaeopithecidae","Archaeopithecus","rogeri"
"286","NA","Archaeopithecidae","Archaeopithecus","rogeri"
"287","NA","Archaeopithecidae","Archaeopithecus","rogeri"
"288","NA","Archaeopithecidae","Archaeopithecus","rogeri"
"289","NA","Archaeopithecidae","Archaeopithecus","rogeri"
"290","NA","Archaeopithecidae","Archaeopithecus","rogeri"
"291","NA","Archaeopithecidae","Archaeopithecus","rogeri"
"292","NA","Archaeopithecidae","Archaeopithecus","rogeri"
"293","NA","Argyrolagidae","Anargyrolagus","primus"
"294","NA","Argyrolagidae","Argyrolagus","palmeri"
"295","NA","Argyrolagidae","Argyrolagus","palmeri"
"296","NA","Argyrolagidae","Argyrolagus","palmeri"
"297","NA","Argyrolagidae","Argyrolagus","NA"
"298","NA","Argyrolagidae","Argyrolagus","NA"
"299","NA","Argyrolagidae","Argyrolagus","NA"
"300","NA","Argyrolagidae","Argyrolagus","NA"
"301","NA","Argyrolagidae","Argyrolagus","NA"
"302","NA","Argyrolagidae","Argyrolagus","NA"
"303","NA","Argyrolagidae","Hondalagus","altiplanensis"
"304","NA","Argyrolagidae","Hondalagus","altiplanensis"
"305","NA","Argyrolagidae","Klohnia","charrieri"
"306","NA","Argyrolagidae","Klohnia","charrieri"
"307","NA","Argyrolagidae","Klohnia","major"
"308","NA","Argyrolagidae","Klohnia","major"
"309","NA","Argyrolagidae","Microtragulus","argentinus"
"310","NA","Argyrolagidae","Microtragulus","bolivianus"
"311","NA","Argyrolagidae","Microtragulus","bolivianus"
"312","NA","Argyrolagidae","Microtragulus","bolivianus"
"313","NA","Argyrolagidae","Microtragulus","catamarcensis"
"314","NA","Argyrolagidae","Microtragulus","reigi"
"315","NA","Argyrolagidae","Microtragulus","reigi"
"316","NA","Argyrolagidae","Microtragulus","rusconii"
"317","NA","Argyrolagidae","Microtragulus","rusconii"
"318","NA","Argyrolagidae","Microtragulus","rusconii"
"319","NA","Argyrolagidae","Microtragulus","rusconii"
"320","NA","Argyrolagidae","Microtragulus","NA"
"321","NA","Argyrolagidae","Proargyrolagus","argentinus"
"322","NA","Argyrolagidae","Proargyrolagus","bolivianus"
"323","NA","Argyrolagidae","Proargyrolagus","bolivianus"
"324","NA","Argyrolagidae","Proargyrolagus","bolivianus"
"325","Astrapotheria","Astrapotheriidae","Astraponotus","assymmetrus"
"326","Astrapotheria","Astrapotheriidae","Astraponotus","dicksoni"
"327","Astrapotheria","Astrapotheriidae","Astraponotus","dilatatus"
"328","Astrapotheria","Astrapotheriidae","Astraponotus","holdichi"
"329","Astrapotheria","Astrapotheriidae","Astraponotus","thompsoni"
"330","Astrapotheria","Astrapotheriidae","Astrapothericulus","NA"
"331","Astrapotheria","Astrapotheriidae","Astrapothericulus","iheringi"
"332","Astrapotheria","Astrapotheriidae","Astrapothericulus","iheringi"
"333","Astrapotheria","Astrapotheriidae","Astrapotherium","hesperinum"
"334","Astrapotheria","Astrapotheriidae","Astrapotherium","magnum"
"335","Astrapotheria","Astrapotheriidae","Astrapotherium","magnum"
"336","Astrapotheria","Astrapotheriidae","Astrapotherium","magnum"
"337","Astrapotheria","Astrapotheriidae","Astrapotherium","magnum"
"338","Astrapotheria","Astrapotheriidae","Astrapotherium","magnum"
"339","Astrapotheria","Astrapotheriidae","Astrapotherium","magnum"
"340","Astrapotheria","Astrapotheriidae","Astrapotherium","magnum"
"341","Astrapotheria","Astrapotheriidae","Astrapotherium","magnum"
"342","Astrapotheria","Astrapotheriidae","Astrapotherium","magnum"
"343","Astrapotheria","Astrapotheriidae","Astrapotherium","magnum"
"344","Astrapotheria","Astrapotheriidae","Astrapotherium","magnum"
"345","Astrapotheria","Astrapotheriidae","Astrapotherium","magnum"
"346","Astrapotheria","Astrapotheriidae","Astrapotherium","magnum"
"347","Astrapotheria","Astrapotheriidae","Astrapotherium","magnum"
"348","Astrapotheria","Astrapotheriidae","Astrapotherium","nanum"
"349","Astrapotheria","Astrapotheriidae","Astrapotherium","ruderarium"
"350","Astrapotheria","Astrapotheriidae","Astrapotherium","NA"
"351","Astrapotheria","Astrapotheriidae","Astrapotherium","NA"
"352","Astrapotheria","Astrapotheriidae","Astrapotherium","NA"
"353","Astrapotheria","Astrapotheriidae","Astrapotherium","NA"
"354","Astrapotheria","Astrapotheriidae","Astrapotherium","NA"
"355","Astrapotheria","Astrapotheriidae","Astrapotherium","NA"
"356","Astrapotheria","Astrapotheriidae","Astrapotherium","NA"
"357","Astrapotheria","Astrapotheriidae","Astrapotherium","NA"
"358","Astrapotheria","Astrapotheriidae","Astrapotherium","NA"
"359","Astrapotheria","Astrapotheriidae","Astrapotherium","NA"
"360","Astrapotheria","Astrapotheriidae","Astrapotherium","NA"
"361","Astrapotheria","Astrapotheriidae","Comahuetherium","coccaorum"
"362","Astrapotheria","Astrapotheriidae","Granastrapotherium","snorki"
"363","Astrapotheria","Astrapotheriidae","Granastrapotherium","snorki"
"364","Astrapotheria","Astrapotheriidae","Granastrapotherium","snorki"
"365","Astrapotheria","Astrapotheriidae","Granastrapotherium","snorki"
"366","Astrapotheria","Astrapotheriidae","Granastrapotherium","snorki"
"367","Astrapotheria","Astrapotheriidae","Granastrapotherium","snorki"
"368","Astrapotheria","Astrapotheriidae","Granastrapotherium","snorki"
"369","Astrapotheria","Astrapotheriidae","Granastrapotherium","snorki"
"370","Astrapotheria","Astrapotheriidae","Granastrapotherium","snorki"
"371","Astrapotheria","Astrapotheriidae","Granastrapotherium","snorki"
"372","Astrapotheria","Astrapotheriidae","Granastrapotherium","snorki"
"373","Astrapotheria","Astrapotheriidae","Granastrapotherium","snorki"
"374","Astrapotheria","Astrapotheriidae","Granastrapotherium","snorki"
"375","Astrapotheria","Astrapotheriidae","Granastrapotherium","snorki"
"376","Astrapotheria","Astrapotheriidae","Granastrapotherium","snorki"
"377","Astrapotheria","Astrapotheriidae","Granastrapotherium","snorki"
"378","Astrapotheria","Astrapotheriidae","Granastrapotherium","snorki"
"379","Astrapotheria","Astrapotheriidae","Granastrapotherium","snorki"
"380","Astrapotheria","Astrapotheriidae","Granastrapotherium","snorki"
"381","Astrapotheria","Astrapotheriidae","Granastrapotherium","snorki"
