"Order","Family","Genus","Species","Status","Country","State","Period","Epoch","overlap_percentage","Min age","Max age","Collection number","Collection authorizer","Reference","Note"
"Notoungulata","Acoelodidae","Maxschlosseria","expansa","extinct","Argentina","Chubut","Paleogene","Eocene",100,33.9,48.6,176285,"J. Zijlstra","NA","nb: Syn of Oldfieldthomasiidae"
"Notoungulata","Acoelodidae","Maxschlosseria","minima","extinct","Argentina","Chubut","Paleogene","Eocene",100,37.2,48.6,176164,"J. Zijlstra","NA","nb: Syn of Oldfieldthomasiidae"
"Notoungulata","Acoelodidae","Maxschlosseria","minima","extinct","Argentina","Chubut","Paleogene","Eocene",100,40.4,48.6,176165,"J. Zijlstra","NA","nb: Syn of Oldfieldthomasiidae"
"Notoungulata","Acoelodidae","Maxschlosseria","minima","extinct","Argentina","Chubut","Paleogene","Eocene",100,33.9,48.6,176285,"J. Zijlstra","NA","nb: Syn of Oldfieldthomasiidae"
"Notoungulata","Acoelodidae","Maxschlosseria","minuta","extinct","Argentina","Chubut","Paleogene","Eocene",100,37.2,48.6,44956,"D. Croft","NA","nb: Syn of Oldfieldthomasiidae"
"Notoungulata","Acoelodidae","Maxschlosseria","minuta","extinct","Argentina","Chubut","Paleogene","Eocene",100,37.2,48.6,176164,"J. Zijlstra","NA","nb: Syn of Oldfieldthomasiidae"
"Notoungulata","Acoelodidae","Maxschlosseria","minuta","extinct","Argentina","Chubut","Paleogene","Eocene",100,37.2,48.6,176172,"J. Zijlstra","NA","nb: Syn of Oldfieldthomasiidae"
"Notoungulata","Acoelodidae","Maxschlosseria","praeterita","extinct","Argentina","Chubut","Paleogene","Eocene",100,37.2,48.6,176164,"J. Zijlstra","NA","nb: Syn of Oldfieldthomasiidae"
"Notoungulata","Acoelodidae","Maxschlosseria","praeterita","extinct","Argentina","Chubut","Paleogene","Eocene",100,40.4,48.6,176165,"J. Zijlstra","NA","nb: Syn of Oldfieldthomasiidae"
"Notoungulata","Acoelodidae","Maxschlosseria","rusticula","extinct","Argentina","Chubut","Paleogene","Eocene",100,37.2,48.6,176164,"J. Zijlstra","NA","nb: Syn of Oldfieldthomasiidae"
"Notoungulata","Acoelodidae","Maxschlosseria","rusticula","extinct","Argentina","Chubut","Paleogene","Eocene",100,37.2,48.6,176164,"J. Zijlstra","NA","nb: Syn of Oldfieldthomasiidae"
"Notoungulata","Acoelodidae","Maxschlosseria","rusticula","extinct","Argentina","Chubut","Paleogene","Eocene",100,37.2,48.6,176164,"J. Zijlstra","NA","nb: Syn of Oldfieldthomasiidae"
"Notoungulata","Acoelodidae","Maxschlosseria","rusticula","extinct","Argentina","Chubut","Paleogene","Eocene",100,40.4,48.6,176165,"J. Zijlstra","NA","nb: Syn of Oldfieldthomasiidae"
"Notoungulata","Acoelodidae","Maxschlosseria","septa","extinct","Argentina","Chubut","Paleogene","Eocene",100,37.2,48.6,176164,"J. Zijlstra","NA","nb: Syn of Oldfieldthomasiidae"
"Notoungulata","Acoelodidae","Maxschlosseria","consumata","extinct","Argentina","Chubut","Paleogene","Eocene",100,38,41.3,13779,"J. Zijlstra","F. Ameghino. 1901. Notices préliminaires sur des ongulés nouveaux des terrains crétacés de Patagonie [Preliminary notes on new ungulates from the Cretaceous terrains of Patagonia]. Boletin de la Academia Nacional de Ciencias de Córdoba 16:349-429",NA
"Notoungulata","Acoelodidae","Oldfieldthomasia","anfractuosa","extinct","Argentina","Chubut","Paleogene","Eocene",100,37.2,48.6,176163,"J. Zijlstra","NA","nb: Syn of Oldfieldthomasiidae"
"Notoungulata","Acoelodidae","Oldfieldthomasia","debilitata","extinct","Argentina","Chubut","Paleogene","Eocene",100,37.2,48.6,13779,"J. Alroy","NA","nb: Syn of Oldfieldthomasiidae"
"Notoungulata","Acoelodidae","Oldfieldthomasia","debilitata","extinct","Argentina","Chubut","Paleogene","Eocene",100,37.2,48.6,13779,"J. Alroy","NA","nb: Syn of Oldfieldthomasiidae"
"Notoungulata","Acoelodidae","Oldfieldthomasia","debilitata","extinct","Argentina","Chubut","Paleogene","Eocene",100,37.2,48.6,13779,"J. Alroy","NA","nb: Syn of Oldfieldthomasiidae"
"Notoungulata","Acoelodidae","Oldfieldthomasia","debilitata","extinct","Argentina","Chubut","Paleogene","Eocene",100,37.2,48.6,13779,"J. Alroy","NA","nb: Syn of Oldfieldthomasiidae"
"Notoungulata","Acoelodidae","Oldfieldthomasia","debilitata","extinct","Argentina","Chubut","Paleogene","Eocene",100,37.2,48.6,13779,"J. Alroy","NA","nb: Syn of Oldfieldthomasiidae"
"Notoungulata","Acoelodidae","Oldfieldthomasia","debilitata","extinct","Argentina","Chubut","Paleogene","Eocene",100,37.2,48.6,13779,"J. Alroy","NA","nb: Syn of Oldfieldthomasiidae"
"Notoungulata","Acoelodidae","Oldfieldthomasia","debilitata","extinct","Argentina","Chubut","Paleogene","Eocene",100,37.2,48.6,49900,"D. Croft","NA","nb: Syn of Oldfieldthomasiidae"
"Notoungulata","Acoelodidae","Oldfieldthomasia","debilitata","extinct","Argentina","Chubut","Paleogene","Eocene",100,33.9,55.8,49902,"D. Croft","NA","nb: Syn of Oldfieldthomasiidae"
"Notoungulata","Acoelodidae","Oldfieldthomasia","debilitata","extinct","Argentina","Chubut","Paleogene","Eocene",100,37.2,48.6,175744,"R. Butler","NA","nb: Syn of Oldfieldthomasiidae"
"Notoungulata","Acoelodidae","Oldfieldthomasia","debilitata","extinct","Argentina","Chubut","Paleogene","Eocene",100,37.2,48.6,176164,"J. Zijlstra","NA","nb: Syn of Oldfieldthomasiidae"
"Notoungulata","Acoelodidae","Oldfieldthomasia","debilitata","extinct","Argentina","Chubut","Paleogene","Eocene",100,37.2,48.6,176180,"J. Zijlstra","NA","nb: Syn of Oldfieldthomasiidae"
"Notoungulata","Acoelodidae","Oldfieldthomasia","debilitata","extinct","Argentina","Chubut","Paleogene","Eocene",100,37.2,48.6,176181,"J. Zijlstra","NA","nb: Syn of Oldfieldthomasiidae"
"Notoungulata","Acoelodidae","Oldfieldthomasia","debilitata","extinct","Argentina","Chubut","Paleogene","Eocene",100,37.2,48.6,176182,"J. Zijlstra","NA","nb: Syn of Oldfieldthomasiidae"
"Notoungulata","Acoelodidae","Oldfieldthomasia","debilitata","extinct","Argentina","Chubut","Paleogene","Eocene",100,37.2,48.6,176185,"J. Zijlstra","NA","nb: Syn of Oldfieldthomasiidae"
"Notoungulata","Acoelodidae","Oldfieldthomasia","debilitata","extinct","Argentina","Chubut","Paleogene","Eocene",100,37.2,48.6,176186,"J. Zijlstra","NA","nb: Syn of Oldfieldthomasiidae"
