occurrence_no	record_type	reid_no	flags	collection_no	identified_name	identified_rank	identified_no	difference	accepted_name	accepted_rank	accepted_no	early_interval	late_interval	max_ma	min_ma	reference_no
212911	occ			21686	Myotis albescens	species	40678	species not entered	Myotis	genus	40678	Holocene		0.0117	0	4785
212912	occ			21686	Molossops terminekii	species	279373	species not entered	Molossops	genus	279373	Holocene		0.0117	0	4785
212913	occ			21686	Molossus pretiosus	species	48788	species not entered	Molossus	genus	48788	Holocene		0.0117	0	4785
212914	occ			21686	Eumops bonariensis	species	40694	species not entered	Eumops	genus	40694	Holocene		0.0117	0	4785
212915	occ			21686	Eumops glaucinus	species	46396		Eumops glaucinus	species	45958	Holocene		0.0117	0	4785
212916	occ			21686	Eumops auripendulus	species	40694	species not entered	Eumops	genus	40694	Holocene		0.0117	0	4785
212917	occ			21686	Cebus nigrivittatus	species	236583		Cebus nigrivittatus	species	236583	Holocene		0.0117	0	4785
212918	occ			21686	Cerdocyon thous	species	232946		Cerdocyon thous	species	232945	Holocene		0.0117	0	4785
212919	occ			21686	Sciurus granatensis	species	41525	species not entered	Sciurus	genus	41525	Holocene		0.0117	0	4785
212920	occ			21686	Oryzomys bicolor	species	41828	species not entered	Oryzomys	genus	41828	Holocene		0.0117	0	4785
212921	occ			21686	Zygodontomys brevicauda	species	97136	species not entered	Zygodontomys	genus	97136	Holocene		0.0117	0	4785
212922	occ			21686	Coendou prehensilis	species	233581		Coendou prehensilis	species	104190	Holocene		0.0117	0	4785
212923	occ			21686	Echimys semirillosus	species	233839	species not entered	Echimys	genus	233839	Holocene		0.0117	0	4785
212924	occ			21686	Dasyprocta agouti	species	105149	species not entered	Dasyprocta	genus	105149	Holocene		0.0117	0	4785
212925	occ			21686	Hydrochaeris hydrochaeris	species	159144	misspelling of, recombined as	Hydrochoerus hydrochaeris	species	128739	Holocene		0.0117	0	4785
212926	occ			21686	Odocoileus virginianus	species	49288		Odocoileus virginianus	species	45528	Holocene		0.0117	0	4785
212927	occ			21686	Lasiurus borealis	species	47490		Lasiurus borealis	species	52636	Holocene		0.0117	0	4785
212928	occ			21687	Choloepus didactylus	species	233221		Choloepus didactylus	species	104149	Holocene		0.0117	0	4787
212929	occ			21687	Dasyprocta leporina	species	233629		Dasyprocta leporina	species	104198	Holocene		0.0117	0	4787
212930	occ			21687	Myoprocta acouchy	species	234760		Myoprocta acouchy	species	234759	Holocene		0.0117	0	4787
212931	occ			21687	Tayassu tajacu	species	52101	recombined as	Pecari tajacu	species	51899	Holocene		0.0117	0	4787
212932	occ			21687	Speothos venaticus	species	232955		Speothos venaticus	species	232954	Holocene		0.0117	0	4787
212933	occ			21687	Eira barbara	species	232924		Eira barbara	species	104166	Holocene		0.0117	0	4787
