occurrence_no	record_type	reid_no	flags	collection_no	identified_name	identified_rank	identified_no	difference	accepted_name	accepted_rank	accepted_no	early_interval	late_interval	max_ma	min_ma	reference_no
667066	occ			71843	Prolagostomus notatus	species	42079	species not entered	Prolagostomus	genus	42079	Burdigalian		20.44	15.97	24282
667067	occ			71843	Stichomys sp. ?	genus	42063		Stichomys	genus	42063	Burdigalian		20.44	15.97	24282
667068	occ			71843	Spaniomys riparius	species	76991		Spaniomys riparius	species	76991	Burdigalian		20.44	15.97	24282
667069	occ			71843	Acarechimys cf. minutus	species	394216		Acarechimys minutus	species	394216	Burdigalian		20.44	15.97	24282
667070	occ			71843	Acarechimys sp.	genus	42052		Acarechimys	genus	42052	Burdigalian		20.44	15.97	24282
667071	occ			71843	Neoreomys australis	species	243566		Neoreomys australis	species	243566	Burdigalian		20.44	15.97	24282
667072	occ			71843	Scleromys sp.	genus	42088		Scleromys	genus	42088	Burdigalian		20.44	15.97	24282
667073	occ			71843	Sciamys principalis	species	243563		Sciamys principalis	species	243563	Burdigalian		20.44	15.97	24282
667074	occ			71843	Eocardia perforata	species	243630	subjective synonym of	Eocardia robusta	species	404288	Burdigalian		20.44	15.97	24282
667075	occ			71843	Schistomys erro	species	399300		Schistomys erro	species	399300	Burdigalian		20.44	15.97	24282
667076	occ			71843	Steiromys duplicatus	species	77000		Steiromys duplicatus	species	77000	Burdigalian		20.44	15.97	24282
667077	occ			71843	Steiromys sp.	genus	42145		Steiromys	genus	42145	Burdigalian		20.44	15.97	24282
667078	occ			71843	Perimys impactus	species	243616		Perimys impactus	species	243616	Burdigalian		20.44	15.97	24282
667079	occ			71843	Perimys scalaris	species	77060	subjective synonym of	Perimys erutus	species	77057	Burdigalian		20.44	15.97	24282
667080	occ			71843	Perimys procerus	species	77058	subjective synonym of	Perimys erutus	species	77057	Burdigalian		20.44	15.97	24282
667081	occ			71843	Perimys onustus	species	243603		Perimys onustus	species	243603	Burdigalian		20.44	15.97	24282
667082	occ			71843	Perimys perpinguis	species	243604		Perimys perpinguis	species	243604	Burdigalian		20.44	15.97	24282
668066	occ			47303	n. gen. Phoberodon n. sp. arctirostris	species	64482		Phoberodon arctirostris	species	64482	Aquitanian	Burdigalian	23.03	15.97	12654
684778	occ	40206		73780	Pachycetus paulsoni	species	36789	species not entered	Pachycetus	genus	36789	Bartonian		41.3	38	82775
685619	occ			73840	Pliopontos sp.	genus	36818		Pliopontos	genus	36818	Late Miocene	Early Pliocene	11.608	3.6	24749
685622	occ	37482		73840	Squalodon ? sp.	genus	36852		Squalodon	genus	36852	Late Miocene	Early Pliocene	11.608	3.6	24751
685623	occ			71341	Dusicyon avus	species	260304		Dusicyon avus	species	260304	Late Pleistocene		0.126	0.0117	24751
685624	occ			71341	Panthera atrox	species	49733	recombined as	Uncia atrox	species	46509	Late Pleistocene		0.126	0.0117	73536
685626	occ			71341	Macrauchenia sp.	genus	43497		Macrauchenia	genus	43497	Late Pleistocene		0.126	0.0117	24751
685627	occ			71341	Parahipparion saldiasi	species	311192		Parahipparion saldiasi	species	311191	Late Pleistocene		0.126	0.0117	24751
685628	occ			73842	Hippidium nannum	species	47020	species not entered	Hippidion	genus	43001	Pliocene		5.333	2.588	24751
685629	occ			73842	Equus curvidens	species	247768	subjective synonym of	Equus caballus	species	46259	Pliocene		5.333	2.588	24751
685630	occ	19493		73842	Cuvieronius tropicus	species	45410		Cuvieronius tropicus	species	45650	Pliocene		5.333	2.588	19636
685631	occ			73843	Lama guanicoe	species	83724		Lama guanicoe	species	83724	Holocene		0.0117	0	24752
685634	occ			73844	Hippidium saldiasi	species	47020	species not entered	Hippidion	genus	43001	Late Pleistocene		0.126	0.0117	24752
685635	occ			73844	Mylodon sp.	genus	43636		Mylodon	genus	43636	Late Pleistocene		0.126	0.0117	24752
685636	occ		F	73844	Lama gracilis	species	267498		Lama gracilis	species	267498	Late Pleistocene		0.126	0.0117	24752
685637	occ			73844	Lama guanicoe	species	83724		Lama guanicoe	species	83724	Late Pleistocene		0.126	0.0117	24752
685638	occ			73845	Eutatus seguini	species	83801		Eutatus seguini	species	83801	Late Pleistocene		0.126	0.0117	24073
685639	occ			73845	Canis avus	species	41198	species not entered	Canis	genus	41198	Late Pleistocene		0.126	0.0117	24073
685640	occ			73845	Reithrodon auritus	species	231635		Reithrodon auritus	species	231634	Late Pleistocene		0.126	0.0117	24073
685641	occ			73845	Lama guanicoe	species	83724		Lama guanicoe	species	83724	Late Pleistocene		0.126	0.0117	24073
685642	occ			73845	Ctenomys talarum	species	81628	species not entered	Ctenomys	genus	81628	Late Pleistocene		0.126	0.0117	24073
685643	occ			73845	Zaedyus pichiy	species	83728		Zaedyus pichiy	species	83728	Late Pleistocene		0.126	0.0117	24073
685644	occ			73845	Lagostomus maximus	species	231487		Lagostomus maximus	species	231486	Late Pleistocene		0.126	0.0117	24073
685645	occ			73845	Chaetophractus villosus	species	83806		Chaetophractus villosus	species	83806	Late Pleistocene		0.126	0.0117	24073
685646	occ			73845	Felis concolor	species	46513	recombined as	Puma concolor	species	46513	Late Pleistocene		0.126	0.0117	24073
685648	occ			73845	Myocastor coipus	species	42072	species not entered	Myocastor	genus	42072	Late Pleistocene		0.126	0.0117	24073
685649	occ			73845	Dasypus hybridus	species	161187	recombined as	Dasypus (Dasypus) hybridus	species	161186	Late Pleistocene		0.126	0.0117	24073
685650	occ			73845	Ozotoceros bezoarticus	species	83727		Ozotoceros bezoarticus	species	83727	Late Pleistocene		0.126	0.0117	24073
700589	occ			67434	n. gen. Argentoconodon n. sp. fariasorum	species	53114		Argentoconodon fariasorum	species	53114	Middle Toarcian	Late Toarcian	182	175.6	25425
729385	occ			13079	Arctocephalus lomasiensis	species	187684	recombined as	Hydrarctos lomasiensis	species	72015	Messinian		7.246	5.333	26378
731801	occ			78576	Neosclerocalyptus cf. heusseri	species	117311		Neosclerocalyptus heusseri	species	117310	Lujanian		0.781	0.012	26422
731802	occ			78576	Glyptodon sp.	genus	43576		Glyptodon	genus	43576	Lujanian		0.781	0.012	26422
731803	occ			78576	Panochthus sp.	genus	43587		Panochthus	genus	43587	Lujanian		0.781	0.012	26422
731804	occ	35011		78576	Notiomastodon sp.	genus	43250		Notiomastodon	genus	43250	Lujanian		0.781	0.012	66428
731805	occ			78576	Toxodon sp.	genus	43405		Toxodon	genus	43405	Lujanian		0.781	0.012	26422
731806	occ			78577	Toxodon cf. gezi	species	117320		Toxodon gezi	species	117320	Lujanian		0.781	0.012	26422
731807	occ			78577	Morenelaphus sp.	genus	97137		Morenelaphus	genus	97137	Lujanian		0.781	0.012	26422
731808	occ	35012		78577	Notiomastodon sp.	genus	43250		Notiomastodon	genus	43250	Lujanian		0.781	0.012	66428
731809	occ			78577	Equus (Amerhippus) neogeus	species	117318	subjective synonym of	Equus caballus	species	46259	Lujanian		0.781	0.012	26422
731810	occ			78577	Smilodon populator	species	51618		Smilodon populator	species	51618	Lujanian		0.781	0.012	26422
731811	occ			78578	Glyptodon sp.	genus	43576		Glyptodon	genus	43576	Lujanian		0.781	0.012	26422
731812	occ			78578	Neosclerocalyptus cf. heusseri	species	117311		Neosclerocalyptus heusseri	species	117310	Lujanian		0.781	0.012	26422
731813	occ			78578	Scelidotherium cf. leptocephalum	species	83733		Scelidotherium leptocephalum	species	83733	Lujanian		0.781	0.012	26422
731814	occ	35013		78578	Notiomastodon sp.	genus	43250		Notiomastodon	genus	43250	Lujanian		0.781	0.012	66428
731815	occ			78578	Stegomastodon cf. platensis	species	117325	recombined as	Notiomastodon platensis	species	117324	Lujanian		0.781	0.012	26422
731816	occ			78578	Toxodon sp.	genus	43405		Toxodon	genus	43405	Lujanian		0.781	0.012	26422
731817	occ			78579	Propraopus grandis	species	117316	subjective synonym of	Propraopus sulcatus	species	161169	Lujanian		0.781	0.012	26422
731818	occ			78579	Stegomastodon cf. platensis	species	117325	recombined as	Notiomastodon platensis	species	117324	Lujanian		0.781	0.012	26422
731819	occ			78580	Equus (Amerhippus) cf. neogeus	species	117318	subjective synonym of	Equus caballus	species	46259	Lujanian		0.781	0.012	26422
731820	occ			78580	Megatherium sp.	genus	43616		Megatherium	genus	43616	Lujanian		0.781	0.012	26422
731821	occ			78581	Megatherium cf. americanum	species	83805		Megatherium americanum	species	83805	Lujanian		0.781	0.012	26422
731822	occ			78582	Panochthus sp.	genus	43587		Panochthus	genus	43587	Lujanian		0.781	0.012	26422
731823	occ			78583	Lestodon sp.	genus	43635		Lestodon	genus	43635	Lujanian		0.781	0.012	26422
731824	occ			78584	Toxodon sp.	genus	43405		Toxodon	genus	43405	Lujanian		0.781	0.012	26422
732482	occ			63515	Equus (Amerhippus) santaeelenae	species	117394		Equus (Amerhippus) santaeelenae	species	117393	Late Pleistocene		0.126	0.0117	26437
732483	occ			63515	Didelphis sp.	genus	39959		Didelphis	genus	39959	Late Pleistocene		0.126	0.0117	26437
732484	occ	22644		63515	Dasypus sabanicola	species	161168	recombined as	Dasypus (Dasypus) sabanicola	species	161168	Late Pleistocene		0.126	0.0117	31501
732486	occ			63515	Eremotherium sp.	genus	43611		Eremotherium	genus	43611	Late Pleistocene		0.126	0.0117	26437
732488	occ			63515	Canis dirus	species	44837		Canis dirus	species	44837	Late Pleistocene		0.126	0.0117	46993
732489	occ			63515	Palaeolama (Palaeolama) sp.	subgenus	463460		Palaeolama (Palaeolama)	subgenus	463460	Late Pleistocene		0.126	0.0117	26437
732490	occ			63515	Mazama sp.	genus	47951		Mazama	genus	47951	Late Pleistocene		0.126	0.0117	26437
732491	occ			63515	Odocoileus sp.	genus	42682		Odocoileus	genus	42682	Late Pleistocene		0.126	0.0117	26437
732492	occ			63515	Glyptodon cf. clavipes	species	83804		Glyptodon clavipes	species	83804	Late Pleistocene		0.126	0.0117	26437
732493	occ	22645		63515	Pampatherium humboldtii	species	137096		Pampatherium humboldtii	species	45064	Late Pleistocene		0.126	0.0117	31501
738568	occ			79347	n. gen. Kiyumylodon n. sp. lecuonai	species	119020		Kiyumylodon lecuonai	species	119020	Late Miocene		11.608	5.333	26601
738569	occ			79348	Carodnia cf. feruglioi	species	99651		Carodnia feruglioi	species	99651	Danian		66	61.6	26605
738570	occ			79348	n. gen. Notoetayoa n. sp. gargantuai	species	119024		Notoetayoa gargantuai	species	119024	Danian		66	61.6	26605
739515	occ			79508	Oxyodontherium zeballosi	species	364224	misspelling of, obsolete variant of	Oxyodontherium zeballozi	species	278313	Chapadmalalan		4	3	26665
751059	occ			80364	Pliomorphus ameghinioi	species	188816	species not entered	Pliomorphus	genus	188816	Late Miocene		11.608	5.333	27017
751061	occ			80364	Saurocetes argentinus	species	63503		Saurocetes argentinus	species	63503	Late Miocene		11.608	5.333	27017
751067	occ			80365	Acrophoca sp.	genus	41187		Acrophoca	genus	41187	Late Miocene		11.608	5.333	27020
751071	occ			69730	Acrophoca sp.	genus	41187		Acrophoca	genus	41187	Tortonian		11.62	7.246	27020
751072	occ			69730	Pisciphoca aff. pacifica	species	41188	misspelling of, species not entered	Piscophoca	genus	53276	Tortonian		11.62	7.246	27020
751910	occ			79631	Paramyocastor diligens	species	120178		Paramyocastor diligens	species	120178	Late Pliocene		3.6	2.588	26701
751911	occ			79631	Paramyocastor cf. diligens	species	120178		Paramyocastor diligens	species	120178	Late Pliocene		3.6	2.588	26701
751912	occ			79631	Eumysops sp.	genus	122015		Eumysops	genus	122015	Late Pliocene		3.6	2.588	26701
751913	occ			79631	Paedotherium typicum	species	120179		Paedotherium typicum	species	240081	Late Pliocene		3.6	2.588	26701
754354	occ			79180	Pseudolycopsis cabrerai	species	337467		Pseudolycopsis cabrerai	species	337467	Chasicoan		10	9	27152
754355	occ			79180	Kraglievichia sp.	genus	43541		Kraglievichia	genus	43541	Chasicoan		10	9	71001
754369	occ			79180	Cardiomys sp.	genus	42110		Cardiomys	genus	42110	Chasicoan		10	9	27152
754370	occ			79180	Procardiatherium sp.	genus	42132	subjective synonym of	Cardiatherium	genus	42126	Chasicoan		10	9	27152
754374	occ			79180	Pisanodon nazari	species	387337		Pisanodon nazari	species	387337	Chasicoan		10	9	27152
754375	occ			79180	Typotheriopsis sp.	genus	43431		Typotheriopsis	genus	43431	Chasicoan		10	9	27152
754377	occ			79180	Paedotherium minor	species	263279		Paedotherium minor	species	263279	Chasicoan		10	9	27152
754378	occ			79180	Parodimys ? sp.	genus	122366		Parodimys	genus	122366	Chasicoan		10	9	27152
754379	occ			79180	Tetrastylus ? sp.	genus	42098		Tetrastylus	genus	42098	Chasicoan		10	9	27152
754380	occ			79180	Orthomyctera sp.	genus	42118		Orthomyctera	genus	42118	Chasicoan		10	9	27152
754381	occ			79180	Proeuphractus sp.	genus	43551		Proeuphractus	genus	43551	Chasicoan		10	9	71001
754382	occ			79180	Vetelia n. sp. perforata	species	387574		Vetelia perforata	species	387574	Chasicoan		10	9	71001
754383	occ			79180	n. gen. Chasicotatus n. sp. ameghinoi	species	281434		Chasicotatus ameghinoi	species	281434	Chasicoan		10	9	71001
762545	occ			81491	Nanosiren n. sp. sanchezi	species	124903		Nanosiren sanchezi	species	124903	Tortonian		11.62	7.246	27454
762554	occ			45485	Nanosiren ? sp.	genus	124901		Nanosiren	genus	124901	Tortonian		11.62	7.246	27454
764758	occ			13522	Palaeobalaena bergii	species	81699	obsolete variant of	Palaeobalaena bergi	species	69876	Tortonian		11.62	7.246	17683
764759	occ			13522	Palaeobalaena dubia	species	36790	species not entered	Palaeobalaena	genus	36790	Tortonian		11.62	7.246	17683
764798	occ			13626	Otaria n. sp. fischeri	species	145480		Otaria fischeri	species	145480	Tortonian		11.62	7.246	29694
768360	occ			82092	Feresa attenuata	species	63583		Feresa attenuata	species	63583	Holocene		0.0117	0	27685
776131	occ			83282	Promacrauchenia sp.	genus	43502		Promacrauchenia	genus	43502	Montehermosan		6.8	4	27968
776132	occ	20869		83282	Chapalmatherium novum	species	131385	recombined as	Phugatherium novum	species	131385	Montehermosan		6.8	4	27967
776133	occ			83282	Palaeodoedicurus cf. chapalmalensis	species	43585	species not entered	Palaeodoedicurus	genus	43585	Montehermosan		6.8	4	27968
776134	occ			83282	cf. Trachycalyptus sp.	genus	43592		Trachycalyptus	genus	43592	Montehermosan		6.8	4	27968
776135	occ			83282	Trigodon gaudryi	species	151118		Trigodon gaudryi	species	151118	Montehermosan		6.8	4	27968
783901	occ			84454	Thalassocnus sp.	genus	72041		Thalassocnus	genus	72041	Messinian		7.246	5.333	28294
784203	occ			13079	Thalassocnus n. sp. littoralis	species	72045		Thalassocnus littoralis	species	72045	Messinian		7.246	5.333	16792
784204	occ			46083	Thalassocnus n. sp. carolomartini	species	72046		Thalassocnus carolomartini	species	72046	Tortonian	Messinian	11.62	5.333	16792
784205	occ			84485	Thalassocnus n. sp. yaucensis	species	134632		Thalassocnus yaucensis	species	134632	Zanclean		5.333	3.6	28320
787227	occ			45485	n. gen. Piscorhynchus n. sp. aenigmaticus	species	63943		Piscorhynchus aenigmaticus	species	63943	Tortonian		11.62	7.246	12843
787291	occ			45886	n. gen. Argyrocetus n. sp. patagonicus	species	63997		Argyrocetus patagonicus	species	63997	Burdigalian		20.44	15.97	12338
788174	occ	23572		80365	Brachydelphis sp.	genus	36685		Brachydelphis	genus	36685	Late Miocene		11.608	5.333	34357
788624	occ		F	85201	Cebupithecia sarmientoi	species	247698		Cebupithecia sarmientoi	species	247698	Late Miocene		11.608	5.333	28674
789400	occ			85343	n. gen. Ahytherium n. sp. aureum	species	137590		Ahytherium aureum	species	137590	Lujanian		0.781	0.012	28790
789401	occ			85344	cf. Ahytherium aureum	species	137590		Ahytherium aureum	species	137590	Quaternary		2.588	0	28790
790509	occ		IF	85570	n. gen. Ameghinichnus n. sp. patagonicus	species	131593		Ameghinichnus patagonicus	species	131593	Callovian	Oxfordian	166.1	157.3	69367
792456	occ			13501	n. gen. Szalinia n. sp. gracilis	species	139750		Szalinia gracilis	species	139750	Danian		66	61.6	28985
794916	occ			86306	Notiocetus n. sp. platensis	species	69869		Notiocetus platensis	species	69869	Ensenadan		1.2	0.781	16565
796241	occ			48999	Mesungulatum n. sp. lamarquensis	species	140932		Mesungulatum lamarquensis	species	140932	Late Campanian	Early Maastrichtian	83.5	66	29136
796242	occ			48999	Groebertherium stipanicici	species	67609		Groebertherium stipanicici	species	67609	Late Campanian	Early Maastrichtian	83.5	66	29136
796243	occ			48999	cf. Brandonia sp.	genus	140935		Brandonia	genus	140935	Late Campanian	Early Maastrichtian	83.5	66	29136
796244	occ			48999	Barberenia n. sp. allenensis	species	140934		Barberenia allenensis	species	140934	Late Campanian	Early Maastrichtian	83.5	66	29136
796245	occ			48999	n. gen. Trapalcotherium n. sp. matuastensis	species	140937		Trapalcotherium matuastensis	species	140937	Late Campanian	Early Maastrichtian	83.5	66	29136
797958	occ			13522	n. gen. Anisodelphis n. sp. brevirostratus	species	63860	subjective synonym of	Ischyrorhynchus vanbenedeni	species	63859	Tortonian		11.62	7.246	15250
797959	occ			13522	Saurodelphis n. sp. acutirostratus	species	63865	subjective synonym of	Saurocetes argentinus	species	63503	Tortonian		11.62	7.246	15250
798701	occ			86873	Delphinus n. sp. blainvillei	species	68423	recombined as	Pontoporia blainvillei	species	68423	Holocene		0.0117	0	12161
798704	occ			86877	Delphinus n. sp. guianensis	species	71645	recombined as	Sotalia guianensis	species	71645	Holocene		0.0117	0	12161
798705	occ			86878	Sotalia n. sp. brasiliensis	species	69751	subjective synonym of	Sotalia fluviatilis	species	94788	Holocene		0.0117	0	12161
798708	occ			86881	Delphinus n. sp. fluviatilis	species	94788	recombined as	Sotalia fluviatilis	species	94788	Holocene		0.0117	0	12161
798712	occ			86873	Delphinus n. sp. coeruleoalbus	species	82061	recombined as	Stenella coeruleoalba	species	82061	Holocene		0.0117	0	12161
798716	occ			86888	Stenella n. sp. pernettyi	species	146051	nomen oblitum	Delphinus	genus	36703	Holocene		0.0117	0	12161
798727	occ			86896	Delphinus n. sp. eutropia	species	82040	recombined as	Cephalorhynchus eutropia	species	82040	Holocene		0.0117	0	12161
798733	occ			86873	Phocaena n. sp. spinipinnis	species	102693	recombined as	Phocoena spinipinnis	species	102693	Holocene		0.0117	0	12161
798735	occ			86873	Phocaena n. sp. dioptrica	species	91002	recombined as	Phocoena dioptrica	species	91002	Holocene		0.0117	0	12161
801754	occ			87198	Thylamis sp.	genus	337350	misspelling of, obsolete variant of	Thylamys	genus	39991	Huayquerian		9	6.8	29353
801755	occ			87198	Thylatheridium hudsoni	species	263077		Thylatheridium hudsoni	species	263077	Huayquerian		9	6.8	29353
801756	occ			87198	Thylatheridium dolgopolae	species	263073		Thylatheridium dolgopolae	species	263073	Huayquerian		9	6.8	29353
801757	occ			87198	Lutreolina sp.	genus	39969		Lutreolina	genus	39969	Huayquerian		9	6.8	29353
801758	occ			87198	n. gen. Borhyaenidium n. sp. musteloides	species	279502		Borhyaenidium musteloides	species	279502	Huayquerian		9	6.8	29353
801759	occ			87198	Achlysictis cf. lelongi	species	278322	subjective synonym of	Thylacosmilus atrox	species	291870	Huayquerian		9	6.8	29353
801760	occ			87198	Cyonasua brevirostris	species	395169		Cyonasua brevirostris	species	395169	Huayquerian		9	6.8	29353
801761	occ			87198	Cyonasua prebrevirostris	species	41255	species not entered	Cyonasua	genus	41255	Huayquerian		9	6.8	29353
801762	occ			87198	Pisanodon nazari	species	387337		Pisanodon nazari	species	387337	Huayquerian		9	6.8	29353
801763	occ			87198	Hemihegetotherium lazai	species	43442	species not entered	Hemihegetotherium	genus	43442	Huayquerian		9	6.8	29353
801764	occ			87198	Paedotherium minor	species	263279		Paedotherium minor	species	263279	Huayquerian		9	6.8	29353
801765	occ			87198	Pseudotypotherium carhuense	species	394649		Pseudotypotherium carhuense	species	394649	Huayquerian		9	6.8	29353
801766	occ			87198	Promacrauchenia sp.	genus	43502		Promacrauchenia	genus	43502	Huayquerian		9	6.8	29353
801767	occ			87198	Macrauchenidia latidens	species	423163	subjective synonym of	Huayqueriana cristata	species	384286	Huayquerian		9	6.8	29353
801768	occ			87198	Epecuenia thoatherioides	species	419413		Epecuenia thoatherioides	species	419413	Huayquerian		9	6.8	29353
801769	occ			87198	Eoauchenia cingulata	species	424270		Eoauchenia cingulata	species	424270	Huayquerian		9	6.8	29353
801770	occ			87198	Plesiomegatherium sp.	genus	43620		Plesiomegatherium	genus	43620	Huayquerian		9	6.8	29353
801771	occ			87198	Elassotherium altirostre	species	399043	subjective synonym of	Proscelidodon gracillimus	species	388680	Huayquerian		9	6.8	29353
801772	occ			87198	Macrochorobates scalabrinii	species	68407		Macrochorobates scalabrinii	species	68406	Huayquerian		9	6.8	29353
801773	occ			87198	Chorobates villosissimus	species	282539		Chorobates villosissimus	species	282539	Huayquerian		9	6.8	29353
801774	occ			87198	Macroeuphractus morenoi	species	394654		Macroeuphractus morenoi	species	394654	Huayquerian		9	6.8	29353
801775	occ			87198	Paleuphractus sp.	genus	43545		Paleuphractus	genus	43545	Huayquerian		9	6.8	29353
801776	occ			87198	Doellotatus chapadmalensis	species	281440		Doellotatus chapadmalensis	species	281440	Huayquerian		9	6.8	29353
801777	occ			87198	Aspidocalyptus castroi	species	397789		Aspidocalyptus castroi	species	397789	Huayquerian		9	6.8	29353
801778	occ			87198	Hoplophractus tapinocephalus	species	188868	species not entered	Hoplophractus	genus	188868	Huayquerian		9	6.8	29353
801779	occ			87198	Coscinocercus marcalaini	species	424267		Coscinocercus marcalaini	species	424267	Huayquerian		9	6.8	29353
801780	occ			87198	Coscinocercus brachyurus	species	424268		Coscinocercus brachyurus	species	424268	Huayquerian		9	6.8	29353
801781	occ			87198	Plohophorus araucanus	species	318400		Plohophorus araucanus	species	318400	Huayquerian		9	6.8	29353
801782	occ			87198	Orthomyctera sp.	genus	42118		Orthomyctera	genus	42118	Huayquerian		9	6.8	29353
801783	occ			87198	Palaeocavia sp.	genus	42119		Palaeocavia	genus	42119	Huayquerian		9	6.8	29353
801784	occ			87198	Cardiomys sp.	genus	42110		Cardiomys	genus	42110	Huayquerian		9	6.8	29353
801785	occ			87198	Lagostomus sp.	genus	42077		Lagostomus	genus	42077	Huayquerian		9	6.8	29353
801787	occ			87198	n. gen. Reigechimys n. sp. octodontiformis	species	100458		Reigechimys octodontiformis	species	100458	Huayquerian		9	6.8	73278
801788	occ			87198	Pampamys emmonsae	species	388139		Pampamys emmonsae	species	388139	Huayquerian		9	6.8	29353
801789	occ			87198	Abrocoma cf. antiqua	species	401818		Abrocoma antiqua	species	401818	Huayquerian		9	6.8	29353
801790	occ			87198	Tetrastylus araucanus	species	318336		Tetrastylus araucanus	species	318336	Huayquerian		9	6.8	29353
802740	occ			87314	n. gen. Killikaike n. sp. blakei	species	143113	subjective synonym of	Homunculus patagonicus	species	242914	Santacrucian		17.5	16.3	29404
802755	occ			87321	n. gen. Protopithecus n. sp. brasiliensis	species	143125		Protopithecus brasiliensis	species	143125	Pleistocene		2.588	0.0117	23914
807100	occ			88200	n. gen. Palaeobalaena n. sp. bergi	species	69876		Palaeobalaena bergi	species	69876	Santacrucian		17.5	16.3	17534
811463	occ			89030	Prozaedyus sp.	genus	146408		Prozaedyus	genus	146408	Colhuehuapian		21	17.5	29860
811464	occ			89030	Protypotherium sp.	genus	43422		Protypotherium	genus	43422	Colhuehuapian		21	17.5	29860
811465	occ			89030	Eosteiromys sp.	genus	42138		Eosteiromys	genus	42138	Colhuehuapian		21	17.5	29860
811466	occ			89030	Eoviscaccia australis	species	270720		Eoviscaccia australis	species	270720	Colhuehuapian		21	17.5	29860
811467	occ			89027	Prozaedyus sp.	genus	146408		Prozaedyus	genus	146408	Colhuehuapian		21	17.5	29860
811468	occ			89027	Protypotherium sp.	genus	43422		Protypotherium	genus	43422	Colhuehuapian		21	17.5	29860
811470	occ			89027	Cramauchenia normalis	species	318565		Cramauchenia normalis	species	318565	Colhuehuapian		21	17.5	29860
811471	occ			89027	Parastrapotherium sp.	genus	43463		Parastrapotherium	genus	43463	Colhuehuapian		21	17.5	29860
811472	occ	28335		89027	Banderomys n. sp. leanzai	species	264094		Banderomys leanzai	species	264094	Colhuehuapian		21	17.5	46005
811478	occ			89029	Prozaedyus sp.	genus	146408		Prozaedyus	genus	146408	Colhuehuapian		21	17.5	29860
811479	occ			89029	Protypotherium sp.	genus	43422		Protypotherium	genus	43422	Colhuehuapian		21	17.5	29860
811480	occ			89029	Proadinotherium cf. muensteri	species	318555		Proadinotherium muensteri	species	318555	Colhuehuapian		21	17.5	29860
811481	occ			89029	Cramauchenia normalis	species	318565		Cramauchenia normalis	species	318565	Colhuehuapian		21	17.5	29860
811482	occ			89029	Caviocricetus lucasi	species	335700		Caviocricetus lucasi	species	335700	Colhuehuapian		21	17.5	29860
811483	occ	28336		89029	Banderomys leanzai	species	264094		Banderomys leanzai	species	264094	Colhuehuapian		21	17.5	46005
811484	occ			89029	Eoviscaccia australis	species	270720		Eoviscaccia australis	species	270720	Colhuehuapian		21	17.5	29860
811485	occ			89027	Palaeothentes sp.	genus	40057		Palaeothentes	genus	40057	Colhuehuapian		21	17.5	29860
811486	occ			89027	Proeutatus sp.	genus	146412		Proeutatus	genus	146412	Colhuehuapian		21	17.5	29860
811489	occ			89029	Abderites sp.	genus	40052		Abderites	genus	40052	Colhuehuapian		21	17.5	29860
811490	occ			89029	Pitheculites sp.	genus	40062		Pitheculites	genus	40062	Colhuehuapian		21	17.5	29860
811491	occ			89029	Sipalocyon sp.	genus	40039		Sipalocyon	genus	40039	Colhuehuapian		21	17.5	29860
811492	occ			89029	Cladosictis sp.	genus	40020		Cladosictis	genus	40020	Colhuehuapian		21	17.5	29860
811493	occ			89029	Proeutatus sp.	genus	146412		Proeutatus	genus	146412	Colhuehuapian		21	17.5	29860
811494	occ			89029	Perimys sp.	genus	42078		Perimys	genus	42078	Colhuehuapian		21	17.5	29860
811504	occ			89030	Proeutatus sp.	genus	146412		Proeutatus	genus	146412	Colhuehuapian		21	17.5	29860
811505	occ			89030	Stenotatus sp.	genus	43560		Stenotatus	genus	43560	Colhuehuapian		21	17.5	29860
811689	occ			89093	Cladosictis cf. patagonica	species	53477		Cladosictis patagonica	species	53477	Colhuehuapian		21	17.5	29898
811690	occ			89093	Proeutatus sp.	genus	146412		Proeutatus	genus	146412	Colhuehuapian		21	17.5	29898
811691	occ			89093	cf. Stenotatus sp.	genus	43560		Stenotatus	genus	43560	Colhuehuapian		21	17.5	29898
811696	occ			89093	cf. Colpodon sp.	genus	43375		Colpodon	genus	43375	Colhuehuapian		21	17.5	29898
811697	occ			89093	cf. Protypotherium sp.	genus	43422		Protypotherium	genus	43422	Colhuehuapian		21	17.5	29898
811699	occ			89093	Hegetotherium sp.	genus	43441		Hegetotherium	genus	43441	Colhuehuapian		21	17.5	29898
819033	occ			90023	n. gen. Trachycalyptoides n. sp. achirense	species	148453	species not entered	Trachycalyptoides	genus	148453	Tortonian		11.62	7.246	30156
819034	occ	39735		90023	Mcdonaldocnus bondesioi	species	458692		Mcdonaldocnus bondesioi	species	153976	Tortonian		11.62	7.246	81883
819145	occ			89798	Macrauchenia sp.	genus	43497		Macrauchenia	genus	43497	Pleistocene		2.588	0.0117	30166
819148	occ			89798	Neochoerus sp.	genus	42131		Neochoerus	genus	42131	Pleistocene		2.588	0.0117	30166
819725	occ			90118	Otaria flavescens	species	148542	subjective synonym of	Otaria byronia	species	72200	Holocene		0.0117	0	30231
819735	occ			68025	Otaria byronia	species	72200		Otaria byronia	species	72200	Holocene		0.0117	0	30235
821651	occ			59978	Pontoporia blainvillei	species	63541		Pontoporia blainvillei	species	68423	Late Pleistocene		0.126	0.0117	30423
828944	occ			78518	n. gen. Nazcacetus n. sp. urbinai	species	154149		Nazcacetus urbinai	species	154149	Messinian		7.246	5.333	30755
