Age	fragmentation.index
35.7	0.5134200984
35.8	0.5137090386
35.9	0.5139979788
36	0.514286919
36.1	0.5144402866
36.2	0.5145936542
36.3	0.5147470218
36.4	0.5149003894
36.5	0.515053757
36.6	0.5152071246
36.7	0.5153604922
36.8	0.5155138598
36.9	0.5156672274
37	0.515820595
37.1	0.5159985743
37.2	0.5161765536
37.3	0.5163545329
37.4	0.5165325122
37.5	0.5167104915
37.6	0.5168884708
37.7	0.5170664501
37.8	0.5172444294
37.9	0.5174224087
38	0.517600388
38.1	0.5177188127
38.2	0.5178372374
38.3	0.5179556621
38.4	0.5180740868
38.5	0.5181925115
38.6	0.5183109362
38.7	0.5184293609
38.8	0.5185477856
38.9	0.5186662103
39	0.518784635
39.1	0.5189609573
39.2	0.5191372796
39.3	0.5193136019
39.4	0.5194899242
39.5	0.5196662465
39.6	0.5198425688
39.7	0.5200188911
39.8	0.5201952134
39.9	0.5203715357
40	0.520547858
40.1	0.5206593181
40.2	0.5207707782
40.3	0.5208822383
40.4	0.5209936984
40.5	0.5211051585
40.6	0.5212166186
40.7	0.5213280787
40.8	0.5214395388
40.9	0.5215509989
41	0.521662459
41.1	0.5216910269
41.2	0.5217195948
41.3	0.5217481627
41.4	0.5217767306
41.5	0.5218052985
41.6	0.5218338664
41.7	0.5218624343
41.8	0.5218910022
41.9	0.5219195701
42	0.521948138
42.1	0.5219630323
42.2	0.5219779266
42.3	0.5219928209
42.4	0.5220077152
42.5	0.5220226095
42.6	0.5220375038
42.7	0.5220523981
42.8	0.5220672924
42.9	0.5220821867
43	0.522097081
43.1	0.5221094521
43.2	0.5221218232
43.3	0.5221341943
43.4	0.5221465654
43.5	0.5221589365
43.6	0.5221713076
43.7	0.5221836787
43.8	0.5221960498
43.9	0.5222084209
44	0.522220792
44.1	0.522244935
44.2	0.522269078
44.3	0.522293221
44.4	0.522317364
44.5	0.522341507
44.6	0.52236565
44.7	0.522389793
44.8	0.522413936
44.9	0.522438079
45	0.522462222
45.1	0.5225138856
45.2	0.5225655492
45.3	0.5226172128
45.4	0.5226688764
45.5	0.52272054
45.6	0.5227722036
45.7	0.5228238672
45.8	0.5228755308
45.9	0.5229271944
46	0.522978858
46.1	0.5230563411
46.2	0.5231338242
46.3	0.5232113073
46.4	0.5232887904
46.5	0.5233662735
46.6	0.5234437566
46.7	0.5235212397
46.8	0.5235987228
46.9	0.5236762059
47	0.523753689
47.1	0.523562761
47.2	0.523371833
47.3	0.523180905
47.4	0.522989977
47.5	0.522799049
47.6	0.522608121
47.7	0.522417193
47.8	0.522226265
47.9	0.522035337
48	0.521844409
48.1	0.5218142046
48.2	0.5217840002
48.3	0.5217537958
48.4	0.5217235914
48.5	0.521693387
48.6	0.5216631826
48.7	0.5216329782
48.8	0.5216027738
48.9	0.5215725694
49	0.521542365
49.1	0.5221272508
49.2	0.5227121366
49.3	0.5232970224
49.4	0.5238819082
49.5	0.524466794
49.6	0.5250516798
49.7	0.5256365656
49.8	0.5262214514
49.9	0.5268063372
50	0.527391223
50.1	0.5274073808
50.2	0.5274235386
50.3	0.5274396964
50.4	0.5274558542
50.5	0.527472012
50.6	0.5274881698
50.7	0.5275043276
50.8	0.5275204854
50.9	0.5275366432
51	0.527552801
51.1	0.527565153
51.2	0.527577505
51.3	0.527589857
51.4	0.527602209
51.5	0.527614561
51.6	0.527626913
51.7	0.527639265
51.8	0.527651617
51.9	0.527663969
52	0.527676321
52.1	0.5276771339
52.2	0.5276779468
52.3	0.5276787597
52.4	0.5276795726
52.5	0.5276803855
52.6	0.5276811984
52.7	0.5276820113
52.8	0.5276828242
52.9	0.5276836371
53	0.52768445
53.1	0.5276814972
53.2	0.5276785444
53.3	0.5276755916
53.4	0.5276726388
53.5	0.527669686
53.6	0.5276667332
53.7	0.5276637804
53.8	0.5276608276
53.9	0.5276578748
54	0.527654922
54.1	0.528500604
54.2	0.529346286
54.3	0.530191968
54.4	0.53103765
54.5	0.531883332
54.6	0.532729014
54.7	0.533574696
54.8	0.534420378
54.9	0.53526606
55	0.536111742
55.1	0.5360046041
55.2	0.5358974662
55.3	0.5357903283
55.4	0.5356831904
55.5	0.5355760525
55.6	0.5354689146
55.7	0.5353617767
55.8	0.5352546388
55.9	0.5351475009
56	0.535040363
56.1	0.5348103408
56.2	0.5345803186
56.3	0.5343502964
56.4	0.5341202742
56.5	0.533890252
56.6	0.5336602298
56.7	0.5334302076
56.8	0.5332001854
56.9	0.5329701632
