Age	Temperature
27.1	16.6326666666667
27.2	17.7713333333333
27.3	16.3793333333333
27.4	16.7713333333333
27.5	17.31
27.6	16.9633333333333
27.7	16.59
27.8	17.39
27.9	17.95
28	17.7046666666667
28.1	18.1873333333333
28.2	18.5526666666667
28.3	17.3366666666667
28.4	17.79
28.5	17.95
28.6	17.63
28.7	17.5766666666667
28.8	17.6566666666667
28.9	17.4166666666667
29	17.31
29.1	17.7633333333333
29.2	17.9393333333333
29.3	17.6033333333333
29.4	18.03
29.5	17.15
29.6	17.8966666666667
29.7	17.9233333333333
29.8	17.5766666666667
29.9	17.7766666666667
30	17.4166666666667
30.1	18.0033333333333
30.2	17.7633333333333
30.3	18.0033333333333
30.4	17.2833333333333
30.5	18.11
30.6	17.63
30.7	17.3366666666667
30.8	17.95
