Age	Diversity
36.8	0.301029995663981
36.9	0.301029995663981
37	0.301029995663981
37.1	0.301029995663981
37.2	0.301029995663981
37.3	0.301029995663981
37.4	0.301029995663981
37.5	0.301029995663981
37.6	0.301029995663981
37.7	0.301029995663981
37.8	0.301029995663981
37.9	0.301029995663981
38	0.301029995663981
38.1	0.301029995663981
38.2	0.301029995663981
38.3	0.301029995663981
38.4	0.301029995663981
38.5	0.301029995663981
38.6	0.477121254719662
38.7	0.477121254719662
38.8	0.477121254719662
38.9	0.477121254719662
39	0.477121254719662
39.1	0.477121254719662
39.2	0.477121254719662
39.3	0.477121254719662
39.4	0.477121254719662
39.5	0.477121254719662
39.6	0.477121254719662
39.7	0.477121254719662
39.8	0.477121254719662
39.9	0.477121254719662
40	0.477121254719662
40.1	0.477121254719662
40.2	0.477121254719662
40.3	0.477121254719662
40.4	0.602059991327962
40.5	0.602059991327962
40.6	0.602059991327962
40.7	0.602059991327962
40.8	0.602059991327962
40.9	0.477121254719662
41	0.477121254719662
41.1	0.477121254719662
41.2	0.477121254719662
41.3	0.477121254719662
41.4	0.477121254719662
41.5	0.477121254719662
41.6	0.477121254719662
41.7	0.477121254719662
41.8	0.477121254719662
41.9	0.477121254719662
42	0.477121254719662
42.1	0.477121254719662
42.2	0.477121254719662
42.3	0.477121254719662
42.4	0.301029995663981
42.5	0.301029995663981
42.6	0.301029995663981
42.7	0.301029995663981
42.8	0.301029995663981
42.9	0.301029995663981
43	0.301029995663981
43.1	0.301029995663981
43.2	0.301029995663981
43.3	0.301029995663981
43.4	0.301029995663981
43.5	0.301029995663981
43.6	0.301029995663981
43.7	0.301029995663981
43.8	0.301029995663981
43.9	0.301029995663981
44	0.301029995663981
44.1	0.301029995663981
44.2	0.301029995663981
44.3	0.301029995663981
44.4	0.301029995663981
44.5	0.301029995663981
44.6	0.301029995663981
44.7	0.301029995663981
44.8	0.301029995663981
44.9	0.301029995663981
45	0.301029995663981
45.1	0
45.2	0
45.3	0
45.4	0
45.5	0
45.6	0
45.7	0
45.8	0
45.9	0
46	0
46.1	0
46.2	0.301029995663981
46.3	0.301029995663981
46.4	0
46.5	0
46.6	0
46.7	0
46.8	0
46.9	0
47	0
47.1	0
47.2	0
47.3	0
47.4	0
47.5	0
47.6	0
47.7	0
47.8	0
47.9	0
48	0
48.1	0
48.2	0
48.3	0
48.4	0
48.5	0
48.6	0
48.7	0
48.8	0
48.9	0
49	0
49.1	0
49.2	0
49.3	0
49.4	0
49.5	0
49.6	0
49.7	0
49.8	0
49.9	0
50	0
50.1	0
50.2	0
50.3	0
50.4	0
50.5	0
50.6	0
50.7	0
50.8	0
50.9	0.301029995663981
51	0.301029995663981
51.1	0.301029995663981
51.2	0.301029995663981
51.3	0.301029995663981
51.4	0.301029995663981
51.5	0.301029995663981
51.6	0.301029995663981
51.7	0.301029995663981
51.8	0.301029995663981
