Age	C13organic
9.2	-23.3771428571429
9.3	-23.5742857142857
9.4	-23.78
9.5	-23.4858823529412
9.6	-23.3453846153846
9.7	-23.9992307692308
9.8	-23.9114285714286
9.9	-23.62
10	-23.37
10.1	-23.4736363636364
10.2	-23.747
10.3	-23
10.4	-22.8071428571429
10.5	-22.8663636363636
10.6	-23.31
10.7	-24.31
10.8	-24.3936363636364
10.9	-23.79
11	-23.29
11.1	-23.2827272727273
11.2	-23.4780769230769
11.3	-23.8742307692308
11.4	-24.2703846153846
11.5	-24.058
11.6	-23.698
11.7	-24.3685714285714
11.8	-24.56
11.9	-23.245
12	-23.1241666666667
12.1	-23.0776923076923
12.2	-22.77
12.3	-23.4046666666667
12.4	-23.8466666666667
12.5	-22.7133333333333
12.6	-22.7463636363636
12.7	-23.006
12.8	-23.446
12.9	-23.205
13	-22.9085294117647
13.1	-22.7938235294118
13.2	-22.6791176470588
13.3	-22.5644117647059
13.4	-22.470625
13.5	-22.351875
13.6	-22.2161538461538
13.7	-22.1636842105263
13.8	-22.4321052631579
13.9	-22.745
14	-23.87
14.1	-23.8721951219512
14.2	-23.8746341463415
14.3	-23.8770731707317
14.4	-23.879512195122
14.5	-23.4692307692308
14.6	-22.9858823529412
14.7	-22.9447058823529
14.8	-22.8921739130435
14.9	-22.7530434782609
15	-22.6139130434783
15.1	-22.8333333333333
15.2	-23.1666666666667
15.3	-23.2327272727273
15.4	-23.0645454545455
15.5	-22.93
15.6	-23.1087878787879
15.7	-23.2875757575758
15.8	-23.4663636363636
15.9	-23.4866666666667
16	-23.42
16.1	-23.3533333333333
16.2	-23.3
16.3	-23.1955882352941
16.4	-23.0911764705882
16.5	-22.9867647058824
16.6	-22.8823529411765
16.7	-22.7779411764706
16.8	-22.6735294117647
16.9	-22.59
17	-23.1057894736842
17.1	-23.57
17.2	-23.1082608695652
17.3	-22.5952173913044
17.4	-22.4141666666667
17.5	-22.4745833333333
17.6	-22.535
17.7	-22.5954166666667
17.8	-22.6558333333333
17.9	-22.7168
18	-22.8088
18.1	-22.9008
18.2	-22.899347826087
18.3	-22.8841304347826
18.4	-22.8689130434783
18.5	-22.8536956521739
18.6	-22.84
18.7	-23.9854545454545
18.8	-24.2039306358381
18.9	-24.1438150289017
19	-24.0836994219653
19.1	-24.0235838150289
19.2	-23.9634682080925
19.3	-23.9033526011561
19.4	-23.8432369942197
19.5	-23.7831213872832
19.6	-23.7230057803468
19.7	-23.6628901734104
19.8	-23.602774566474
19.9	-23.5426589595376
20	-23.4825433526012
20.1	-23.4224277456647
20.2	-23.3623121387283
20.3	-23.3021965317919
20.4	-23.2420809248555
20.5	-23.2051923076923
20.6	-23.2571153846154
20.7	-23.3090384615385
20.8	-23.3609615384615
20.9	-23.4128846153846
21	-23.4648076923077
21.1	-23.5070588235294
21.2	-23.56
21.3	-23.6129411764706
21.4	-23.6519230769231
21.5	-23.6711538461538
21.6	-23.6903846153846
21.7	-23.6170909090909
21.8	-23.3407272727273
21.9	-23.0643636363636
22	-22.788
22.1	-22.5116363636364
22.2	-22.2352727272727
22.3	-22.2754545454545
22.4	-22.4345454545455
22.5	-22.5342857142857
22.6	-22.5557142857143
22.7	-22.9457142857143
22.8	-23.0893333333333
22.9	-23.18
23	-23.51
23.1	-23.84
23.2	-23.42
23.3	-22.895
23.4	-22.6627586206897
23.5	-23.0765517241379
23.6	-23.4903448275862
23.7	-23.8089473684211
23.8	-24.0984210526316
23.9	-24.33
24	-23.5175
24.1	-23.1355555555556
24.2	-23.6633333333333
24.3	-24.0094117647059
24.4	-24.1564705882353
24.5	-24.2696428571429
24.6	-24.4017857142857
24.7	-24.5339285714286
24.8	-24.5871428571429
24.9	-24.552
25	-24.507
25.1	-24.4603921568627
25.2	-24.3623529411765
25.3	-24.2643137254902
25.4	-24.1662745098039
25.5	-24.0682352941176
25.6	-23.98
25.7	-24.1323863636364
25.8	-24.3017045454545
25.9	-24.4710227272727
26	-24.6403409090909
26.1	-24.8096590909091
26.2	-24.9789772727273
26.3	-25.1482954545455
26.4	-25.3176136363636
26.5	-25.47
26.6	-25.0344
26.7	-24.5504
26.8	-24.273023255814
26.9	-24.3381395348837
27	-24.4032558139535
27.1	-24.4683720930233
27.2	-24.533488372093
27.3	-24.3867567567568
27.4	-24.1678378378378
27.5	-23.9489189189189
27.6	-23.73
27.7	-23.9382051282051
27.8	-24.1984615384615
27.9	-24.4587179487179
28	-24.7189743589744
28.1	-24.9792307692308
28.2	-25.2394871794872
28.3	-25.4997435897436
28.4	-25.76
28.5	-24.9714285714286
28.6	-23.9857142857143
28.7	-23.8971428571429
28.8	-24.3114285714286
28.9	-24.7257142857143
29	-24.847619047619
29.1	-24.8428571428571
29.2	-24.8257142857143
29.3	-24.7542857142857
29.4	-24.6828571428571
29.5	-24.6561764705882
29.6	-24.7370588235294
29.7	-24.8179411764706
29.8	-24.8988235294118
29.9	-24.9797058823529
30	-25.0605882352941
30.1	-25.1414705882353
30.2	-25.1780769230769
30.3	-25.1184615384615
30.4	-25.0588461538462
30.5	-24.9992307692308
30.6	-24.9396153846154
30.7	-24.88
30.8	-25.0852830188679
30.9	-25.3418867924528
31	-25.5984905660377
31.1	-25.8550943396226
31.2	-26.1116981132075
31.3	-26.2205128205128
31.4	-26.1555555555556
31.5	-26.0905982905983
31.6	-26.025641025641
31.7	-25.9606837606838
31.8	-25.8957264957265
31.9	-25.8307692307692
32	-25.765811965812
32.1	-25.7008547008547
32.2	-25.6358974358974
32.3	-25.5709401709402
32.4	-25.5059829059829
32.5	-25.491914893617
32.6	-25.5217021276596
32.7	-25.5514893617021
32.8	-25.5812765957447
32.9	-25.6110638297872
33	-25.6408510638298
33.1	-25.6706382978723
33.2	-25.7004255319149
33.3	-25.7302127659574
33.4	-25.76
33.5	-25.7897872340426
33.6	-25.8195744680851
33.7	-25.8493617021277
33.8	-25.8791489361702
33.9	-25.8643902439024
34	-25.5082926829268
34.1	-25.1521951219512
34.2	-24.7960975609756
34.3	-24.44
34.4	-24.484
34.5	-24.539
34.6	-24.562380952381
34.7	-24.5830158730159
34.8	-24.6036507936508
34.9	-24.6242857142857
35	-24.6449206349206
35.1	-24.6655555555556
35.2	-24.79
35.3	-24.0565
35.4	-22.8515
35.5	-23.875
35.6	-25.27
35.7	-25.3033333333333
35.8	-25.3366666666667
35.9	-25.10375
36	-24.8
36.1	-23.6720689655172
36.2	-24.5927586206897
36.3	-25.513448275862
36.4	-26.25
36.5	-26.2653846153846
36.6	-26.0616666666667
36.7	-26.2785714285714
36.8	-25.4642857142857
36.9	-25.86
37	-26.42
37.1	-26.3874468085106
37.2	-26.3512765957447
37.3	-26.3151063829787
37.4	-26.2789361702128
37.5	-26.2427659574468
37.6	-26.2065957446809
37.7	-26.1704255319149
37.8	-26.1342553191489
37.9	-26.098085106383
38	-26.061914893617
38.1	-26.0257446808511
38.2	-25.9895744680851
38.3	-25.9534042553191
