Age	Altitude
15.3	1233.16666666667
15.4	1230
15.5	1226.83333333333
15.6	1223.66666666667
15.7	1220.5
15.8	1217.33333333333
15.9	1214.16666666667
16	1211
16.1	1207.43333333333
16.2	1203.86666666667
16.3	1200.3
16.4	1196.73333333333
16.5	1193.16666666667
16.6	1189.6
16.7	1186.03333333333
16.8	1182.46666666667
16.9	1178.9
17	1175.33333333333
17.1	1172.63333333333
17.2	1169.93333333333
17.3	1167.23333333333
17.4	1164.53333333333
17.5	1161.83333333333
17.6	1159.13333333333
17.7	1156.43333333333
17.8	1153.73333333333
17.9	1151.03333333333
18	1148.33333333333
18.1	1144.83333333333
18.2	1141.33333333333
18.3	1137.83333333333
18.4	1134.33333333333
18.5	1130.83333333333
18.6	1127.33333333333
18.7	1123.83333333333
18.8	1120.33333333333
18.9	1116.83333333333
19	1113.33333333333
19.1	1110.23333333333
19.2	1107.13333333333
19.3	1104.03333333333
19.4	1100.93333333333
19.5	1097.83333333333
19.6	1094.73333333333
19.7	1091.63333333333
19.8	1088.53333333333
19.9	1085.43333333333
20	1082.33333333333
20.1	1079.1
20.2	1075.86666666667
20.3	1072.63333333333
20.4	1069.4
20.5	1066.16666666667
20.6	1062.93333333333
20.7	1059.7
20.8	1056.46666666667
20.9	1053.23333333333
21	1050
21.1	1047.26666666667
21.2	1044.53333333333
21.3	1041.8
21.4	1039.06666666667
21.5	1036.33333333333
21.6	1033.6
21.7	1030.86666666667
21.8	1028.13333333333
21.9	1025.4
22	1022.66666666667
22.1	1020.56666666667
22.2	1018.46666666667
22.3	1016.36666666667
22.4	1014.26666666667
22.5	1012.16666666667
22.6	1010.06666666667
22.7	1007.96666666667
22.8	1005.86666666667
22.9	1003.76666666667
23	1001.66666666667
23.1	1000.16666666667
23.2	998.666666666667
23.3	997.166666666667
23.4	995.666666666667
23.5	994.166666666667
23.6	992.666666666667
23.7	991.166666666667
23.8	989.666666666667
23.9	988.166666666667
24	986.666666666667
24.1	985.233333333333
24.2	983.8
24.3	982.366666666667
24.4	980.933333333333
24.5	979.5
24.6	978.066666666667
24.7	976.633333333333
24.8	975.2
24.9	973.766666666667
25	972.333333333333
