collection_no	source_database	collection.authorizer	family_name	family_extant	genus_extant	species_extant	occurrence.genus_reso	occurrence.genus_name	occurrence.species_reso	occurrence.species_name	original.genus_reso	original.genus_name	original.species_reso	original.species_name	country	state	period	epoch	stage	ma_max	ma_min	formation
13626	Fossilworks	"J. Alroy"	Pontoporiidae	yes	no	no		Pontistes	"n. sp."	rectifrons		Delphinus	"n. sp."	rectifrons	Argentina	"Entre Rios"	Neogene	Miocene	Tortonian	11.608	7.246	Entrerriana
13626	Fossilworks	"J. Alroy"	Toxodontidae	no	no	no		Toxodon		paranensis					Argentina	"Entre Rios"	Neogene	Miocene	Tortonian	11.608	7.246	Entrerriana
13626	Fossilworks	"J. Alroy"	Trichechinae	yes	no	no	"n. gen."	Ribodon	"n. sp."	limbatus					Argentina	"Entre Rios"	Neogene	Miocene	Tortonian	11.608	7.246	Entrerriana
13626	Fossilworks	"J. Alroy"			yes	no		Arctocephalus	"n. sp."	fischeri		Otaria	"n. sp."	fischeri	Argentina	"Entre Rios"	Neogene	Miocene	Tortonian	11.608	7.246	Entrerriana
13626	Fossilworks	"J. Alroy"				no	"n. gen."	Notictis	"n. sp."	ortizii	"n. gen."	Notictis	"n. sp."	ortizi	Argentina	"Entre Rios"	Neogene	Miocene	Tortonian	11.608	7.246	Entrerriana
13626	Fossilworks	"J. Alroy"				no	"n. gen."	Stylocynus	"n. sp."	paranensis					Argentina	"Entre Rios"	Neogene	Miocene	Tortonian	11.608	7.246	Entrerriana
13626	Fossilworks	"J. Alroy"	Didelphidae	yes	yes			Chironectes		sp.		Chironectes		minimus	Argentina	"Entre Rios"	Neogene	Miocene	Tortonian	11.608	7.246	Entrerriana
13626	Fossilworks	"J. Alroy"	Macraucheniidae		no			Scalabrinitherium		paranense		Palaeotherium		paranense	Argentina	"Entre Rios"	Neogene	Miocene	Tortonian	11.608	7.246	Entrerriana
13626	Fossilworks	"J. Alroy"	Proterotheriidae	no	no	no		Proterotherium		americanum		Anoplotherium		americanum	Argentina	"Entre Rios"	Neogene	Miocene	Tortonian	11.608	7.246	Entrerriana
13630	Fossilworks	"J. Alroy"			yes	no		Aotus	"n. sp."	dindensis					Colombia	Huila	Neogene	Miocene		16.300	15.500	Honda
13630	Fossilworks	"J. Alroy"	Pitheciidae	yes	no		cf.	Nuciruptor		sp.					Colombia	Huila	Neogene	Miocene		16.300	15.500	Honda
13650	Fossilworks	"J. Alroy"	Dasypodidae	yes		no	"n. gen."	Nanoastegotherium	"n. sp."	prostatum					Colombia		Neogene	Miocene		16.300	15.500	"La Victoria"
13650	Fossilworks	"J. Alroy"	Mylodontidae		no	no		Neonematherium		flabellatum					Colombia		Neogene	Miocene		16.300	15.500	"La Victoria"
13651	Fossilworks	"J. Alroy"	Dasypodidae	yes	no	no		Proeuphractus		limpidus					Uruguay	"San Jose"				9.000	2.588	Kiyu
13653	Fossilworks	"J. Alroy"	Dasypodidae	yes		no		Nanoastegotherium		prostatum					Colombia		Neogene	Miocene		16.300	15.500	Villavieja
13653	Fossilworks	"J. Alroy"	Toxodontidae	no		no		Pericotoxodon		platignathus					Colombia		Neogene	Miocene		16.300	15.500	Villavieja
13678	Fossilworks	"J. Alroy"	Dasypodidae	yes	no	no	"n. gen."	Anadasypus	"n. sp."	hondanus					Colombia		Neogene	Miocene		16.300	15.500	Villavieja
13678	Fossilworks	"J. Alroy"	Mylodontidae		no	no		Pseudoprepotherium		confusum					Colombia		Neogene	Miocene		16.300	15.500	Villavieja
13680	Fossilworks	"J. Alroy"	Dasypodidae	yes	no	no		Anadasypus		hondanus					Colombia		Neogene	Miocene		16.300	15.500	Villavieja
13680	Fossilworks	"J. Alroy"	Mylodontidae		no	no		Pseudoprepotherium		confusum					Colombia		Neogene	Miocene		16.300	15.500	Villavieja
13680	Fossilworks	"J. Alroy"	Caviidae	yes	no			Rhodanodolichotis		sp.					Colombia		Neogene	Miocene		16.300	15.500	Villavieja
13681	Fossilworks	"J. Alroy"	Dasypodidae	yes	no	no		Anadasypus		hondanus					Colombia		Neogene	Miocene		16.300	15.500	"La Victoria"
13682	Fossilworks	"J. Alroy"	Dasypodidae	yes	no	no		Anadasypus		hondanus					Colombia		Neogene	Miocene		16.300	15.500	Villavieja
13683	Fossilworks	"J. Alroy"	Dasypodidae	yes		no	"n. gen."	Pedrolypeutes	"n. sp."	praecursor					Colombia		Neogene	Miocene		15.970	11.608	
13684	Fossilworks	"J. Alroy"	Dasypodidae	yes		no		Pedrolypeutes		praecursor					Colombia		Neogene	Miocene		16.300	15.500	"La Victoria"
13684	Fossilworks	"J. Alroy"	Mylodontidae		no	no		Pseudoprepotherium		confusum					Colombia		Neogene	Miocene		16.300	15.500	"La Victoria"
13684	Fossilworks	"J. Alroy"	Mylodontidae		no	no		Neonematherium		flabellatum					Colombia		Neogene	Miocene		16.300	15.500	"La Victoria"
13684	Fossilworks	"J. Alroy"			no		cf.	Hapalops		sp.					Colombia		Neogene	Miocene		16.300	15.500	"La Victoria"
13685	Fossilworks	"J. Alroy"	Dasypodidae	yes		no		Pedrolypeutes		praecursor					Colombia		Neogene	Miocene		16.300	15.500	"La Victoria"
13686	Fossilworks	"J. Alroy"	Dasypodidae	yes		no		Pedrolypeutes		praecursor					Colombia		Neogene	Miocene		16.300	15.500	Villavieja
13686	Fossilworks	"J. Alroy"	Glyptodontidae	yes	no	no		Boreostemma		gigantea		Asterostemma		gigantea	Colombia		Neogene	Miocene		16.300	15.500	Villavieja
13686	Fossilworks	"J. Alroy"	Paleothentidae			no		Hondathentes		cazador					Colombia		Neogene	Miocene		16.300	15.500	Villavieja
13686	Fossilworks	"J. Alroy"	Cebidae	yes		no		Neosaimiri		annectens					Colombia		Neogene	Miocene		16.300	15.500	Villavieja
13687	Fossilworks	"J. Alroy"	Dasypodidae	yes		no		Pedrolypeutes		praecursor					Colombia		Neogene	Miocene		16.300	15.500	"La Victoria"
13687	Fossilworks	"J. Alroy"	Mylodontidae		no	no		Neonematherium		flabellatum					Colombia		Neogene	Miocene		16.300	15.500	"La Victoria"
13739	Fossilworks	"J. Alroy"	Dasypodidae	yes		no		Pedrolypeutes		praecursor					Colombia		Neogene	Miocene		16.300	15.500	"La Victoria"
13739	Fossilworks	"J. Alroy"	Mylodontidae		no	no		Neonematherium		flabellatum					Colombia		Neogene	Miocene		16.300	15.500	"La Victoria"
13739	Fossilworks	"J. Alroy"	Pitheciidae	yes	no		cf.	Nuciruptor		sp.					Colombia		Neogene	Miocene		16.300	15.500	"La Victoria"
13739	Fossilworks	"J. Alroy"	Proterotheriidae	no		no		Villarroelia		totoyoi					Colombia		Neogene	Miocene		16.300	15.500	"La Victoria"
13740	Fossilworks	"J. Alroy"	Glyptodontidae	yes	no	no		Neoglyptatelus		originalis					Colombia		Neogene	Miocene		16.300	15.500	Villavieja
13741	Fossilworks	"J. Alroy"	Glyptodontidae	yes	no	no		Neoglyptatelus		originalis					Colombia		Neogene	Miocene		16.300	15.500	Villavieja
13741	Fossilworks	"J. Alroy"	Thylacosmilidae	no		no		Anachlysictis		gracilis					Colombia		Neogene	Miocene		16.300	15.500	Villavieja
13741	Fossilworks	"J. Alroy"	Dasyproctidae	yes	no			Microscleromys		sp.					Colombia		Neogene	Miocene		16.300	15.500	Villavieja
13743	Fossilworks	"J. Alroy"	Glyptodontidae	yes	no	no		Neoglyptatelus		originalis					Colombia		Neogene	Miocene		16.300	15.500	Villavieja
13747	Fossilworks	"J. Alroy"	Glyptodontidae	yes	no	no		Neoglyptatelus		originalis					Colombia		Neogene	Miocene		16.300	15.500	"La Victoria"
13749	Fossilworks	"J. Alroy"	Glyptodontidae	yes	no	no		Neoglyptatelus		originalis					Colombia		Neogene	Miocene		16.300	15.500	Villavieja
13749	Fossilworks	"J. Alroy"	Microbiotheriidae			no		Pachybiotherium		minor					Colombia		Neogene	Miocene		16.300	15.500	Villavieja
13749	Fossilworks	"J. Alroy"	Didelphidae	yes	yes	no		Thylamys		minutus					Colombia		Neogene	Miocene		16.300	15.500	Villavieja
13749	Fossilworks	"J. Alroy"	Didelphidae	yes	yes	no		Thylamys		colombianus					Colombia		Neogene	Miocene		16.300	15.500	Villavieja
13749	Fossilworks	"J. Alroy"	Didelphidae	yes	yes	no		Micoureus		laventicus					Colombia		Neogene	Miocene		16.300	15.500	Villavieja
