"","collection_no","source_database","collection.authorizer","family_name","family_extant","genus_extant","species_extant","occurrence.genus_reso","occurrence.genus_name","occurrence.species_reso","occurrence.species_name","original.genus_reso","original.genus_name","original.species_reso","original.species_name","country","state","period","epoch","stage","ma_max","ma_min","formation"
"60",13501,"Fossilworks","J. Alroy","Didelphidae","yes","","no","n. gen.","Incadelphys","n. sp.","antiquus","","","","","Bolivia","Mizque","Paleogene","Paleocene","Danian",66.043,61.7,"Santa Lucía"
"61",13501,"Fossilworks","J. Alroy","Didelphidae","yes","","no","n. gen.","Tiulordia","n. sp.","floresi","","","","","Bolivia","Mizque","Paleogene","Paleocene","Danian",66.043,61.7,"Santa Lucía"
"62",13501,"Fossilworks","J. Alroy","Jaskhadelphyidae","","","no","n. gen.","Jaskhadelphys","n. sp.","minutus","","","","","Bolivia","Mizque","Paleogene","Paleocene","Danian",66.043,61.7,"Santa Lucía"
"63",13501,"Fossilworks","J. Alroy","Microbiotheriidae","","","no","n. gen.","Khasia","n. sp.","cordillerensis","","","","","Bolivia","Mizque","Paleogene","Paleocene","Danian",66.043,61.7,"Santa Lucía"
"64",13501,"Fossilworks","J. Alroy","","","","","","Peradectes","","austrinum","","","","","Bolivia","Mizque","Paleogene","Paleocene","Danian",66.043,61.7,"Santa Lucía"
"65",13501,"Fossilworks","J. Alroy","Cimolestidae","","no","","cf.","Cimolestes","","NA","","","","","Bolivia","Mizque","Paleogene","Paleocene","Danian",66.043,61.7,"Santa Lucía"
"66",13501,"Fossilworks","J. Alroy","Didelphidae","yes","","no","n. gen.","Mizquedelphys","n. sp.","pilpinensis","","","","","Bolivia","Mizque","Paleogene","Paleocene","Danian",66.043,61.7,"Santa Lucía"
"67",13502,"Fossilworks","J. Alroy","","","","","n. gen.","Xenocardia","n. sp.","diversidens","","","","","Argentina","San Juan","Neogene","Pliocene","Zanclean",5.332,3.6,"Huachipampa"
"68",13503,"Fossilworks","J. Alroy","Hydrochoeridae","yes","no","no","n. gen.","Phugatherium","n. sp.","cataclisticum","n. gen.","Neoanchimys","n. sp.","pisanoi","Argentina","Buenos Aires","Neogene","","",6.8,4,"Monte Hermoso"
"69",13503,"Fossilworks","J. Alroy","Procyonidae","yes","","no","","Parahyaenodon","","argentinus","","","","","Argentina","Buenos Aires","Neogene","","",6.8,4,"Monte Hermoso"
"70",13503,"Fossilworks","J. Alroy","Myrmecophagidae","yes","","no","n. gen.","Nunezia","n. sp.","caroloameghinoi","","","","","Argentina","Buenos Aires","Neogene","","",6.8,4,"Monte Hermoso"
"71",13503,"Fossilworks","J. Alroy","","","no","no","n. gen.","Notocynus","n. sp.","hermosicus","","","","","Argentina","Buenos Aires","Neogene","","",6.8,4,"Monte Hermoso"
"72",13503,"Fossilworks","J. Alroy","Haplodontheriidae","","no","no","","Trigodon","","gaudryi","","","","","Argentina","Buenos Aires","Neogene","","",6.8,4,"Monte Hermoso"
"73",13503,"Fossilworks","J. Alroy","Dasypodidae","yes","no","","","Macroeuphractus","","australis","","Dasypotherium","","australis","Argentina","Buenos Aires","Neogene","","",6.8,4,"Monte Hermoso"
"74",13503,"Fossilworks","J. Alroy","Caviidae","yes","yes","","","Hydrochoerus","","NA","","","","","Argentina","Buenos Aires","Neogene","","",6.8,4,"Monte Hermoso"
"75",13503,"Fossilworks","J. Alroy","","","","","","Ctenomys","","priscus","","","","","Argentina","Buenos Aires","Neogene","","",6.8,4,"Monte Hermoso"
"76",13503,"Fossilworks","J. Alroy","Hydrochoeridae","yes","no","","","Phugatherium","","cataclisticum","","","","","Argentina","Buenos Aires","Neogene","","",6.8,4,"Monte Hermoso"
"77",13503,"Fossilworks","J. Alroy","","","","","","Anchimysops","","villalobosi","","","","","Argentina","Buenos Aires","Neogene","","",6.8,4,"Monte Hermoso"
"78",13503,"Fossilworks","J. Alroy","Hydrochoeridae","yes","no","no","","Phugatherium","","cataclisticum","","Chapalmatherium","","perturbidum","Argentina","Buenos Aires","Neogene","","",6.8,4,"Monte Hermoso"
"79",13522,"Fossilworks","J. Alroy","Iniidae","yes","no","no","n. gen.","Ischyrorhynchus","n. sp.","vanbenedeni","","","","","Argentina","Entre Rios","Neogene","Miocene","Tortonian",11.608,7.246,"Entre Rios"
"80",13522,"Fossilworks","J. Alroy","Iniidae","yes","no","","","Saurocetes","n. sp.","obliquus","","","","","Argentina","Entre Rios","Neogene","Miocene","Tortonian",11.608,7.246,"Entre Rios"
"81",13522,"Fossilworks","J. Alroy","","","no","","n. gen.","Pontivaga","n. sp.","NA","n. gen.","Pontivaga","n. sp.","fischeri","Argentina","Entre Rios","Neogene","Miocene","Tortonian",11.608,7.246,"Entre Rios"
