order;family;genus;accepted_name;status;gen_lvl_status;cc;state;locality;formation;period;epoch;Sub_epoch;stage;min_ma;max_ma;collection_no;authorizer;primary_reference
;Derorhynchidae;Derorhynchus;Derorhynchus;extinct;extinct;Argentina;Chubut;;;Paleogene;Eocene;Ypresian;Ypresian;47.8;56;176059;J. Zijlstra;M. F. Tejedor, F. J. Goin, and J. N. Gelfo, G. LÛpez, M. Bond, A. A. Carlini, G. J. Scillato-YanÈ, M. O. Woodburne, L. Chornogubsky, E. AragÛn, M. A. Reguero, N. J. Czaplewski, S. Vincon, G. M. Martin, M. R. Ciancio. 2009. New Early Eocene mammalian fauna from western Patagonia, Argentina. American Museum Novitates 3638:1-43
;Derorhynchidae;Derorhynchus;Derorhynchus_minutus;extinct;extinct;Argentina;Chubut;;;Paleogene;Paleocene;Danian;Danian;61.6;66;95914;J. Zijlstra;A. M. Forasiepi and G. W. Rougier. 2009. Additional data on early Paleocene metatherians (Mammalia) from Punta Peligro (Salamanca Formation, Argentina): comments based on petrosal morphology. Journal of Zoological Systematics and Evolutionary Research 47(4):391-398
;Derorhynchidae;Derorhynchus;Derorhynchus_minutus;extinct;extinct;Argentina;Chubut;;;Paleogene;Eocene;Ypresian;Ypresian;47.8;56;176059;J. Zijlstra;M. F. Tejedor, F. J. Goin, and J. N. Gelfo, G. LÛpez, M. Bond, A. A. Carlini, G. J. Scillato-YanÈ, M. O. Woodburne, L. Chornogubsky, E. AragÛn, M. A. Reguero, N. J. Czaplewski, S. Vincon, G. M. Martin, M. R. Ciancio. 2009. New Early Eocene mammalian fauna from western Patagonia, Argentina. American Museum Novitates 3638:1-43
;Derorhynchidae;Derorhynchus;Derorhynchus_singularis;extinct;extinct;Brazil;Rio de Janeiro;Cabucu;;Paleogene;Eocene;Early Eocene;Early Eocene;47.8;56;118314;P. Mannion;C. d. Paula Couto. 1952. Fossil mammals from the beginning of the Cenozoic in Brazil. Marsupialia: Didelphidae. American Museum Novitates 1567:1-26
;Derorhynchidae;Diogenesia;Diogenesia_brevirostris;extinct;extinct;Brazil;Rio de Janeiro;Cabucu;;Paleogene;Eocene;Early Eocene;Early Eocene;47.8;56;118314;P. Mannion;E. V. Oliveira, L. M. Carneiro, and F. J. Goin. 2021. A new derorhynchid (Mammalia, Metatheria) from the early Eocene ItaboraÌ fauna of Brazil with comments on its affinities. Anais da Academia Brasileira de CiÍncias 93(Suppl.2):e20201554
;Derorhynchidae;Pauladelphys;Pauladelphys;extinct;extinct;Argentina;Chubut;;;Paleogene;Eocene;Lutetian;Lutetian;41.3;47.8;133039;J. Zijlstra;M. F. Tejedor, F. J. Goin, and J. N. Gelfo, G. LÛpez, M. Bond, A. A. Carlini, G. J. Scillato-YanÈ, M. O. Woodburne, L. Chornogubsky, E. AragÛn, M. A. Reguero, N. J. Czaplewski, S. Vincon, G. M. Martin, M. R. Ciancio. 2009. New Early Eocene mammalian fauna from western Patagonia, Argentina. American Museum Novitates 3638:1-43
;Derorhynchidae;Pauladelphys;Pauladelphys;extinct;extinct;Argentina;Chubut;;;Paleogene;Eocene;Ypresian;Ypresian;47.8;56;176059;J. Zijlstra;M. F. Tejedor, F. J. Goin, and J. N. Gelfo, G. LÛpez, M. Bond, A. A. Carlini, G. J. Scillato-YanÈ, M. O. Woodburne, L. Chornogubsky, E. AragÛn, M. A. Reguero, N. J. Czaplewski, S. Vincon, G. M. Martin, M. R. Ciancio. 2009. New Early Eocene mammalian fauna from western Patagonia, Argentina. American Museum Novitates 3638:1-43
;Glasbiidae;Periakros;Periakros_ambiguus;extinct;extinct;Argentina;Chubut;;;Paleogene;Oligocene;Early Oligocene;Tinguirirican;27.82;33.9;176200;J. Zijlstra;F. J. Goin, M. A. Abello, and L. Chornogubsky. 2010. Middle Tertiary marsupials from central Patagonia (early Oligocene of Gran Barranca): understanding South America's Grande Coupure.  In R. H. Madden, A. A. Carlini, M. G. Vucetich, R. F. Kay (eds.), The Paleontology of Gran Barranca: Evolution and Environmental Change through the Middle Cenozoic of Patagonia. Cambridge University Press.
;Glasbiidae;Reigia;Reigia_punae;extinct;extinct;Argentina;Salta;;;Paleogene;Eocene;Priabonian;Priabonian;33.9;37.71;175809;R. Butler;R. Pascual. 1983. Novedosos marsupiales paleÛgenos de la FormaciÛn Pozuelos (Grupo Pastos Grandes) de la Puna, Salta, Argentina. Ameghiniana 20:265-286
;Herpetotheriidae;Rumiodon;Rumiodon;extinct;extinct;Peru;Departamento de Ucayali;Provincia Atalaya;;Paleogene;Oligocene;Early Oligocene;Early Oligocene;28.1;37.71;149523;R. Butler;F. J. Goin and A. M. Candela. 2004. New Paleogene Marsupials from the Amazon Basin of Eastern Peru. Natural History Museum of Los Angeles County, Science Series 40:15-60
